,Region,460,465,472,479,486
0,Belgium,,254,239,220,201
1,Bulgaria,,512,412,311,226
2,Czechia,,405,324,280,250
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1847,1856,1506,1104
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,44,50,53,55
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,NaN,NaN,NaN,NaN
9,France,,NaN,NaN,NaN,NaN
10,Croatia,,307,311,303,284
11,Italy,,2168,2008,1886,1801
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,1175,862,648,496
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,NaN,NaN,NaN,NaN
19,Austria,,176,161,148,135
20,Poland,,2661,1834,1143,649
21,Portugal,,33,34,34,35
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,298,256,208,181
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,152,147,153,147
27,United Kingdom,,153,129,123,119
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
