,Region,453,458,465,472,479
0,Belgium,,266,250,238,225
1,Bulgaria,,643,480,361,274
2,Czechia,,500,391,320,264
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1749,1928,2163,2294
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,51,45,37,31
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,944,931,847,667
9,France,,2862,2927,2931,2640
10,Croatia,,313,359,402,426
11,Italy,,2403,2175,2031,1972
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,1400,1195,1156,1166
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,171,180,197,209
19,Austria,,190,164,139,116
20,Poland,,3178,2638,2128,1764
21,Portugal,,41,42,40,36
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,343,275,220,188
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,155,126,105,93
28,Iceland,,0,0,0,0
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,86,94,99,108
