,County,277,283,290,297
0,01001,2059,78,75,76
1,01003,6658,308,415,492
2,01005,1033,64,85,103
3,01007,840,68,82,101
4,01009,1932,139,159,188
5,01011,649,13,14,14
6,01013,1011,30,30,35
7,01015,4599,517,735,827
8,01017,1350,79,105,124
9,01019,738,33,29,30
10,01021,1884,85,89,88
11,01023,392,8,8,9
12,01025,1352,94,126,145
13,01027,744,58,57,63
14,01029,569,59,64,72
15,01031,1771,147,175,190
16,01033,2021,120,143,156
17,01035,561,7,8,8
18,01037,204,8,9,9
19,01039,1747,119,142,156
20,01041,608,28,33,39
21,01043,2480,271,352,442
22,01045,1763,150,219,261
23,01047,1866,17,16,14
24,01049,3426,362,412,488
25,01051,3208,132,137,132
26,01053,1727,21,20,17
27,01055,4285,301,362,407
28,01057,577,40,44,46
29,01059,2055,104,114,128
30,01061,906,80,112,128
31,01063,342,8,9,9
32,01065,768,38,40,43
33,01067,717,83,130,145
34,01069,4170,531,854,964
35,01071,2159,239,297,359
36,01073,23292,948,968,973
37,01075,496,49,61,69
38,01077,2294,242,325,386
39,01079,858,99,118,135
40,01081,6546,121,117,108
41,01083,2872,201,221,229
42,01085,713,16,16,15
43,01087,536,11,13,12
44,01089,9350,426,438,451
45,01091,1019,85,92,112
46,01093,1081,35,42,44
47,01095,4395,144,162,176
48,01097,16916,,,NaN
49,01099,646,28,37,46
50,01101,10250,633,840,985
51,01103,4164,274,296,326
52,01105,592,12,13,13
53,01107,852,84,98,119
54,01109,1341,36,38,37
55,01111,827,51,50,55
56,01113,1949,69,88,105
57,01115,2955,206,220,239
58,01117,7390,374,393,388
59,01119,472,9,11,10
60,01121,2664,151,159,173
61,01123,1329,62,69,82
62,01125,10345,469,507,526
63,01127,2794,140,158,167
64,01129,749,112,177,191
65,01131,568,8,9,9
66,01133,929,53,50,53
67,02013,16,0,0,0
68,02016,97,0,0,0
69,02020,7298,966,1153,1312
70,02050,391,155,217,266
71,02060,0,0,0,0
72,02068,25,5,6,7
73,02070,49,8,9,10
74,02090,2034,210,212,230
75,02100,12,1,0,1
76,02105,0,0,0,0
77,02110,518,54,68,93
78,02122,877,118,167,221
79,02130,80,3,4,4
80,02150,96,6,6,8
81,02158,183,126,203,216
82,02164,104,28,34,41
83,02170,1085,193,266,349
84,02180,129,13,15,17
85,02185,251,42,45,52
86,02188,233,27,28,30
87,02195,16,2,2,3
88,02198,35,,,NaN
89,02220,75,,,NaN
90,02230,8,,,NaN
91,02240,70,11,13,15
92,02261,160,15,16,19
93,02275,19,0,0,0
94,02282,36,3,3,3
95,02290,112,11,11,14
96,04001,3874,87,93,95
97,04003,2122,105,134,179
98,04005,5068,333,392,437
99,04007,1861,211,221,276
100,04009,1120,125,150,185
101,04011,102,,,NaN
102,04012,613,32,36,47
103,04013,154182,4255,4751,5418
104,04015,4272,104,112,124
105,04017,6310,201,206,214
106,04019,27484,546,577,565
107,04021,11700,396,441,484
108,04023,2978,36,35,39
109,04025,2893,106,124,134
110,04027,13584,313,392,433
111,05001,662,64,76,82
112,05003,536,39,54,64
113,05005,649,143,183,222
114,05007,8065,532,619,672
115,05009,1025,91,102,105
116,05011,369,10,11,9
117,05013,48,5,5,4
118,05015,987,75,77,81
119,05017,1049,22,27,29
120,05019,493,44,47,50
121,05021,480,64,72,81
122,05023,454,46,48,56
123,05025,231,25,35,43
124,05027,690,47,51,53
125,05029,342,18,18,19
126,05031,4432,446,468,487
127,05033,2007,164,176,184
128,05035,2349,183,229,269
129,05037,577,39,39,40
130,05039,179,,,NaN
131,05041,408,36,41,45
132,05043,429,42,54,73
133,05045,3310,227,238,243
134,05047,521,80,98,112
135,05049,315,64,75,90
136,05051,2441,211,262,290
137,05053,359,31,33,37
138,05055,1447,242,306,362
139,05057,542,59,71,85
140,05059,2190,96,119,129
141,05061,577,33,42,47
142,05063,1451,87,89,90
143,05065,556,159,189,217
144,05067,747,136,176,219
145,05069,4136,196,195,184
146,05071,1012,67,93,111
147,05073,168,22,29,34
148,05075,804,137,144,166
149,05077,1108,8,8,7
150,05079,2306,85,83,71
151,05081,447,37,49,59
152,05083,585,61,73,90
153,05085,1702,185,230,247
154,05087,426,19,21,22
155,05089,149,24,30,39
156,05091,1388,259,343,410
157,05093,2225,226,251,291
158,05095,211,20,22,24
159,05097,182,5,4,4
160,05099,293,33,43,54
161,05101,305,14,13,13
162,05103,374,55,67,81
163,05105,136,10,11,9
164,05107,741,67,71,79
165,05109,263,7,8,7
166,05111,1031,148,173,200
167,05113,354,,,NaN
168,05115,2704,184,201,214
169,05117,205,13,13,13
170,05119,11777,744,793,815
171,05121,639,71,81,91
172,05123,1704,47,53,54
173,05125,2779,215,241,254
174,05127,209,68,102,121
175,05129,198,26,37,45
176,05131,4784,285,296,305
177,05133,1335,71,87,98
178,05135,358,47,62,74
179,05137,398,9,9,8
180,05139,1118,61,60,62
181,05141,207,11,10,10
182,05143,11345,541,570,563
183,05145,1447,220,264,300
184,05147,114,34,48,60
185,05149,1339,26,26,27
186,06001,23312,615,669,681
187,06003,3,0,0,0
188,06005,328,14,18,19
189,06007,3078,49,48,42
190,06009,342,8,10,11
191,06011,550,5,6,6
192,06013,18621,460,464,430
193,06015,178,6,8,8
194,06017,1317,40,40,40
195,06019,30752,721,783,810
196,06021,657,17,20,22
197,06023,562,20,23,28
198,06025,12700,275,284,291
199,06027,227,16,22,22
200,06029,33813,445,428,401
201,06031,8228,73,65,55
202,06033,696,38,38,41
203,06035,766,10,13,13
204,06037,299760,9818,11941,12139
205,06039,4981,118,121,115
206,06041,7074,86,73,72
207,06043,78,1,1,0
208,06045,1127,48,45,47
209,06047,9465,166,172,171
210,06049,29,1,1,0
211,06051,180,4,5,5
212,06053,11372,375,356,349
213,06055,1957,83,90,97
214,06057,608,28,34,42
215,06059,58573,1445,1585,1600
216,06061,4093,195,215,242
217,06063,68,11,13,15
218,06065,65902,2169,2356,2493
219,06067,25372,938,1071,1093
220,06069,1437,32,38,40
221,06071,62619,2562,3016,3156
222,06073,54583,2152,2272,2270
223,06075,12103,213,202,187
224,06077,21630,454,521,535
225,06079,4141,163,169,172
226,06081,11075,300,311,294
227,06083,9781,178,183,174
228,06085,24144,848,917,919
229,06087,2788,105,100,101
230,06089,1878,263,301,376
231,06091,6,0,0,0
232,06093,193,9,12,13
233,06095,7286,301,310,342
234,06097,9312,405,385,394
235,06099,17629,303,326,326
236,06101,1837,35,37,36
237,06103,872,123,161,198
238,06105,25,,,NaN
239,06107,17495,345,351,318
240,06109,269,24,37,49
241,06111,14240,351,364,339
242,06113,3191,124,140,150
243,06115,1293,38,39,39
244,08001,13344,1555,1825,2114
245,08003,303,27,31,39
246,08005,12147,1045,1227,1446
247,08007,65,5,7,8
248,08009,30,8,10,14
249,08011,15,2,3,4
250,08013,5394,388,478,530
251,08014,902,111,146,181
252,08015,391,25,34,42
253,08017,15,1,1,1
254,08019,68,7,10,12
255,08021,66,19,25,32
256,08023,36,,,NaN
257,08025,91,11,14,19
258,08027,20,1,2,3
259,08029,200,4,6,7
260,08031,17407,1469,1712,1943
261,08033,3,0,0,0
262,08035,3708,379,444,499
263,08037,1414,64,84,88
264,08039,204,19,26,33
265,08041,9739,1437,1953,2478
266,08043,663,318,356,450
267,08045,1140,85,112,136
268,08047,29,6,9,11
269,08049,144,20,27,34
270,08051,305,6,7,10
271,08053,3,0,0,0
272,08055,33,5,7,8
273,08057,9,0,0,0
274,08059,8071,902,1119,1330
275,08061,4,1,2,3
276,08063,130,29,44,52
277,08065,132,16,23,28
278,08067,350,42,56,74
279,08069,3930,508,605,708
280,08071,69,,,NaN
281,08073,24,0,0,0
282,08075,1194,113,131,133
283,08077,1314,410,559,725
284,08079,21,1,1,1
285,08081,62,11,14,19
286,08083,196,21,24,27
287,08085,459,45,67,84
288,08087,850,41,45,48
289,08089,132,11,14,19
290,08091,37,4,6,7
291,08093,92,21,28,35
292,08095,48,,,NaN
293,08097,277,24,31,33
294,08099,166,,,NaN
295,08101,1904,303,369,462
296,08103,27,,,NaN
297,08105,120,11,16,19
298,08107,202,26,32,43
299,08109,133,13,17,22
300,08111,11,4,4,7
301,08113,101,,,NaN
302,08115,40,,,NaN
303,08117,666,104,137,159
304,08119,217,27,41,53
305,08121,94,15,20,26
306,08123,5895,457,584,682
307,08125,210,44,52,62
308,09001,22322,857,940,947
309,09003,17062,938,1054,1228
310,09005,2116,139,173,208
311,09007,1873,141,175,226
312,09009,16073,693,766,867
313,09011,3456,539,606,736
314,09013,1689,138,178,213
315,09015,1324,131,150,178
316,10001,3422,108,110,118
317,10003,12646,549,548,544
318,10005,7802,383,448,532
319,11001,NaN,406,428,439
320,12001,10044,657,720,752
321,12003,1750,85,92,97
322,12005,6655,211,248,266
323,12007,1221,22,19,17
324,12009,11055,668,766,797
325,12011,83450,2446,2878,3234
326,12013,702,42,54,66
327,12015,3509,149,168,181
328,12017,3162,121,132,132
329,12019,5948,270,276,285
330,12021,14087,482,548,606
331,12023,4211,119,123,124
332,12027,1652,31,36,40
333,12029,885,20,22,23
334,12031,34260,1407,1678,1807
335,12033,13296,380,427,468
336,12035,2076,136,157,173
337,12037,747,59,71,85
338,12039,3051,33,26,23
339,12041,602,62,81,102
340,12043,595,8,8,7
341,12045,934,18,18,21
342,12047,901,11,11,10
343,12049,1578,70,68,71
344,12051,2191,44,47,53
345,12053,3609,178,212,243
346,12055,2545,106,112,116
347,12057,46907,1548,1665,1719
348,12059,885,69,85,104
349,12061,3714,154,180,195
350,12063,3100,76,70,68
351,12065,659,49,63,78
352,12067,1272,12,12,10
353,12069,8445,291,306,317
354,12071,22711,808,910,1009
355,12073,11991,379,363,336
356,12075,1120,20,20,19
357,12077,532,6,6,5
358,12079,1073,20,22,25
359,12081,12971,498,549,605
360,12083,10694,296,297,303
361,12085,5287,141,169,196
362,12086,181942,3703,3891,3982
363,12087,2186,176,235,303
364,12089,2429,92,98,97
365,12091,6146,452,499,574
366,12093,1714,43,49,48
367,12095,45042,1728,1908,2069
368,12097,13905,430,464,475
369,12099,50525,1435,1668,1788
370,12101,10600,421,451,479
371,12103,25130,1174,1338,1540
372,12105,22541,786,826,833
373,12107,2355,91,108,119
374,12109,6280,329,361,388
375,12111,8893,286,319,335
376,12113,5863,174,185,194
377,12115,9392,421,451,498
378,12117,10044,354,398,433
379,12119,2849,127,141,153
380,12121,2972,79,77,81
381,12123,1450,32,33,35
382,12125,1118,54,52,52
383,12127,12453,550,618,661
384,12129,1300,73,83,94
385,12131,2357,166,193,225
386,12133,1216,71,82,102
387,13001,1162,32,34,34
388,13003,481,11,12,11
389,13005,634,9,9,9
390,13007,91,2,3,2
391,13009,2300,53,59,58
392,13011,552,12,13,12
393,13013,2570,91,90,87
394,13015,3571,234,259,291
395,13017,870,19,21,19
396,13019,490,9,10,9
397,13021,6576,143,147,152
398,13023,513,,,NaN
399,13025,445,42,52,67
400,13027,552,10,10,9
401,13029,1294,33,28,27
402,13031,3071,53,54,52
403,13033,880,12,12,11
404,13035,739,10,10,10
405,13037,266,5,5,5
406,13039,1408,20,20,17
407,13043,539,22,24,24
408,13045,3332,183,201,220
409,13047,1410,51,51,49
410,13049,646,,,NaN
411,13051,9323,223,226,216
412,13053,1742,9,7,3
413,13055,927,43,47,47
414,13057,7037,283,310,310
415,13059,5699,151,145,132
416,13061,124,,,NaN
417,13063,8137,438,535,669
418,13065,445,24,28,28
419,13067,21750,560,592,580
420,13069,2242,49,58,55
421,13071,2124,79,76,82
422,13073,4330,182,194,206
423,13075,582,9,8,8
424,13077,2949,88,94,96
425,13079,195,6,7,6
426,13081,641,18,17,18
427,13083,344,25,30,39
428,13085,908,25,25,25
429,13087,1288,28,30,30
430,13089,20977,653,747,775
431,13091,593,97,125,153
432,13093,369,8,9,8
433,13095,3295,35,36,36
434,13097,4066,115,128,127
435,13099,550,12,13,12
436,13101,246,0,0,1
437,13103,1777,107,112,121
438,13105,767,26,29,32
439,13107,1195,33,34,33
440,13109,480,25,29,35
441,13111,820,37,42,40
442,13113,2116,79,86,95
443,13115,3896,270,322,350
444,13117,4687,147,150,143
445,13119,919,78,110,119
446,13121,30838,908,1082,1152
447,13123,1027,67,79,97
448,13125,49,,,NaN
449,13127,3706,75,87,92
450,13129,2318,202,234,274
451,13131,851,9,10,8
452,13133,569,13,14,13
453,13135,30306,658,621,604
454,13137,1869,44,44,41
455,13139,10595,300,278,269
456,13141,413,,,NaN
457,13143,632,48,49,53
458,13145,849,15,16,17
459,13147,573,12,13,12
460,13149,225,9,10,9
461,13151,6136,240,250,257
462,13153,3571,156,183,205
463,13155,357,9,10,9
464,13157,2351,101,101,102
465,13159,244,5,5,5
466,13161,785,19,19,20
467,13163,852,12,13,11
468,13165,464,,,NaN
469,13167,440,5,5,4
470,13169,642,20,19,19
471,13171,419,6,6,6
472,13173,318,7,7,7
473,13175,1970,69,76,73
474,13177,746,9,9,8
475,13179,1233,40,46,51
476,13181,232,5,6,5
477,13183,275,6,5,6
478,13185,4445,169,178,195
479,13187,1038,36,36,37
480,13189,674,16,15,14
481,13191,304,2,2,2
482,13193,248,3,3,3
483,13195,780,20,24,27
484,13197,196,0,1,0
485,13199,594,13,14,12
486,13201,308,6,6,6
487,13205,850,4,4,4
488,13207,753,9,10,9
489,13209,388,13,14,13
490,13211,524,10,10,9
491,13213,1023,83,101,125
492,13215,6339,55,57,49
493,13217,2842,70,72,74
494,13219,861,29,31,30
495,13221,413,19,23,24
496,13223,3113,83,92,91
497,13225,766,37,47,57
498,13227,759,62,81,101
499,13229,674,23,33,38
500,13231,385,8,9,8
501,13233,1698,81,91,101
502,13235,335,6,7,6
503,13237,788,23,26,27
504,13239,38,0,0,0
505,13241,425,11,12,11
506,13243,339,1,1,1
507,13245,7893,186,186,177
508,13247,2108,91,112,126
509,13249,109,1,0,1
510,13251,451,8,9,8
511,13253,392,10,11,9
512,13255,1574,89,113,132
513,13257,1263,31,25,24
514,13259,535,,,NaN
515,13261,959,4,5,4
516,13263,174,,,NaN
517,13265,27,1,1,1
518,13267,921,27,25,26
519,13269,229,4,4,3
520,13271,501,74,117,132
521,13273,340,3,3,2
522,13275,1595,28,31,33
523,13277,1949,37,38,35
524,13279,1473,28,26,23
