,State,725,731,738
0,Washington,NaN,139075,137568
1,Illinois,NaN,251554,227562
2,California,NaN,NaN,NaN
3,Arizona,NaN,139858,153153
4,Massachusetts,NaN,161593,131949
5,Wisconsin,NaN,135688,137733
6,Texas,NaN,462670,469998
7,Nebraska,NaN,34354,38155
8,Utah,NaN,96543,100177
9,Oregon,NaN,72686,76776
10,Florida,NaN,388452,351915
11,New York,NaN,378378,334240
12,Rhode Island,NaN,44784,45671
13,Georgia,NaN,207989,176665
14,New Hampshire,NaN,NaN,NaN
15,North Carolina,NaN,279724,314583
16,New Jersey,NaN,157686,135793
17,Colorado,NaN,143058,138755
18,Maryland,NaN,77238,73773
19,Nevada,NaN,57162,63198
20,Tennessee,NaN,95284,88625
21,Hawaii,NaN,35171,43423
22,Indiana,NaN,109883,110993
23,Kentucky,NaN,68723,66255
24,Minnesota,NaN,105197,112030
25,Oklahoma,NaN,84903,103811
26,Pennsylvania,NaN,203992,205772
27,South Carolina,NaN,129775,132310
28,District of Columbia,NaN,14919,15606
29,Kansas,NaN,59196,76434
30,Missouri,NaN,94168,111006
31,Vermont,NaN,17680,21381
32,Virginia,NaN,161051,156133
33,Connecticut,NaN,76329,72825
34,Iowa,NaN,43117,48319
35,Louisiana,NaN,95223,105942
36,Ohio,NaN,180302,199237
37,Michigan,NaN,152518,149729
38,South Dakota,NaN,19551,20934
39,Arkansas,NaN,75356,89593
40,Delaware,NaN,32380,40567
41,Mississippi,NaN,60606,54571
42,New Mexico,NaN,43399,48063
43,North Dakota,NaN,18442,25278
44,Wyoming,NaN,9659,11534
45,Alaska,NaN,20840,29310
46,Maine,NaN,8503,11166
47,Alabama,NaN,83690,86685
48,Idaho,NaN,19277,25355
49,Montana,NaN,14437,17317
50,Puerto Rico,NaN,53624,53029
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,34112,43096
54,Northern Mariana Islands,NaN,270,316
55,American Samoa,NaN,0,2
