,State,718,724
0,Washington,NaN,130836
1,Illinois,NaN,313586
2,California,NaN,NaN
3,Arizona,NaN,74124
4,Massachusetts,NaN,248093
5,Wisconsin,NaN,74129
6,Texas,NaN,NaN
7,Nebraska,NaN,32017
8,Utah,NaN,67030
9,Oregon,NaN,60524
10,Florida,NaN,NaN
11,New York,NaN,NaN
12,Rhode Island,NaN,59388
13,Georgia,NaN,143712
14,New Hampshire,NaN,29627
15,North Carolina,NaN,253922
16,New Jersey,NaN,287367
17,Colorado,NaN,86313
18,Maryland,NaN,145186
19,Nevada,NaN,39418
20,Tennessee,NaN,96273
21,Hawaii,NaN,34994
22,Indiana,NaN,120540
23,Kentucky,NaN,78762
24,Minnesota,NaN,61362
25,Oklahoma,NaN,40695
26,Pennsylvania,NaN,248232
27,South Carolina,NaN,113839
28,District of Columbia,NaN,24544
29,Kansas,NaN,65976
30,Missouri,NaN,120089
31,Vermont,NaN,18385
32,Virginia,NaN,147116
33,Connecticut,NaN,91571
34,Iowa,NaN,37416
35,Louisiana,NaN,132005
36,Ohio,NaN,167532
37,Michigan,NaN,242254
38,South Dakota,NaN,18115
39,Arkansas,NaN,57436
40,Delaware,NaN,23507
41,Mississippi,NaN,66863
42,New Mexico,NaN,31833
43,North Dakota,NaN,8073
44,Wyoming,NaN,6277
45,Alaska,NaN,12437
46,Maine,NaN,6882
47,Alabama,NaN,85325
48,Idaho,NaN,13095
49,Montana,NaN,7765
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,1530
53,West Virginia,NaN,38368
54,Northern Mariana Islands,NaN,337
55,American Samoa,NaN,1
