,State,711,717
0,Washington,NaN,40972
1,Illinois,NaN,136872
2,California,NaN,296780
3,Arizona,NaN,39529
4,Massachusetts,NaN,99224
5,Wisconsin,NaN,37924
6,Texas,NaN,116612
7,Nebraska,NaN,7562
8,Utah,NaN,12100
9,Oregon,NaN,10310
10,Florida,NaN,551242
11,New York,NaN,471538
12,Rhode Island,NaN,12521
13,Georgia,NaN,150184
14,New Hampshire,NaN,6938
15,North Carolina,NaN,81057
16,New Jersey,NaN,246520
17,Colorado,NaN,50210
18,Maryland,NaN,82946
19,Nevada,NaN,11167
20,Tennessee,NaN,54680
21,Hawaii,NaN,23336
22,Indiana,NaN,44651
23,Kentucky,NaN,17892
24,Minnesota,NaN,25120
25,Oklahoma,NaN,15806
26,Pennsylvania,NaN,126771
27,South Carolina,NaN,35729
28,District of Columbia,NaN,19461
29,Kansas,NaN,12372
30,Missouri,NaN,30890
31,Vermont,NaN,4514
32,Virginia,NaN,87319
33,Connecticut,NaN,36392
34,Iowa,NaN,11948
35,Louisiana,NaN,37820
36,Ohio,NaN,113024
37,Michigan,NaN,58890
38,South Dakota,NaN,3096
39,Arkansas,NaN,25380
40,Delaware,NaN,16208
41,Mississippi,NaN,16838
42,New Mexico,NaN,7066
43,North Dakota,NaN,3701
44,Wyoming,NaN,1410
45,Alaska,NaN,1614
46,Maine,NaN,5417
47,Alabama,NaN,40055
48,Idaho,NaN,3606
49,Montana,NaN,2080
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,188
53,West Virginia,NaN,7736
54,Northern Mariana Islands,NaN,598
55,American Samoa,NaN,1
