,State,179,185,192,199,206,213
0,Washington,46946,4118,4871,5537,6005,6294
1,Illinois,162750,10559,14679,19673,23395,24324
2,California,386906,47049,56321,68032,77087,80552
3,Arizona,143624,11682,11650,11444,10865,9891
4,Massachusetts,108252,2503,2669,2842,2974,3018
5,Wisconsin,42315,5267,6990,8554,9554,9840
6,Texas,335257,43021,50522,54840,55023,51762
7,Nebraska,22583,1704,2207,2669,2968,3072
8,Utah,34117,2872,3117,3276,3350,3339
9,Oregon,14579,3171,4002,4706,5221,5548
10,Florida,350047,27306,31163,33711,34208,32951
11,New York,406807,10410,14090,19680,25560,29518
12,Rhode Island,17793,38,46,64,94,140
13,Georgia,143129,11604,12839,13479,13476,12961
14,New Hampshire,6203,369,480,602,704,803
15,North Carolina,101815,11709,13161,14081,14413,14165
16,New Jersey,176783,3911,4593,5342,6032,6552
17,Colorado,40124,2017,2849,4065,5377,6452
18,Maryland,78131,3609,4003,4348,4585,4670
19,Nevada,35765,4062,4276,4728,5222,5570
20,Tennessee,78115,8817,9964,10662,10850,10579
21,Hawaii,1381,432,681,973,1237,1438
22,Indiana,56571,5201,6390,7510,8347,8783
23,Kentucky,23161,3256,4374,5673,6654,7038
24,Minnesota,46204,3794,4635,5428,5988,6214
25,Oklahoma,25266,4096,4990,5679,6074,6127
26,Pennsylvania,105384,6154,7096,7992,8711,9181
27,South Carolina,69986,9394,9647,9530,9065,8412
28,District of Columbia,11261,377,497,642,775,858
29,Kansas,21996,2190,2766,3277,3620,3769
30,Missouri,33521,4298,5597,6799,7611,7922
31,Vermont,1350,91,130,184,242,288
32,Virginia,77430,6100,7784,9753,11483,12542
33,Connecticut,47893,1409,1847,2342,2829,3252
34,Iowa,38813,3076,3649,4087,4321,4297
35,Louisiana,91706,7268,8009,8291,8090,7552
36,Ohio,74932,8492,9475,10231,10660,10756
37,Michigan,81868,6903,10022,13839,16968,18712
38,South Dakota,7906,550,538,521,504,480
39,Arkansas,33228,4349,5127,5657,5808,5596
40,Delaware,13519,837,1018,1171,1258,1268
41,Mississippi,42638,4564,4943,5044,4897,4563
42,New Mexico,16971,2045,2406,2715,2900,2961
43,North Dakota,5019,567,663,730,756,756
44,Wyoming,2126,301,395,490,565,605
45,Alaska,1875,413,526,638,727,775
46,Maine,3687,288,347,406,469,531
47,Alabama,67011,8381,8853,8942,8655,8094
48,Idaho,14874,2122,2719,3115,3265,3178
49,Montana,2533,620,801,944,1014,1031
50,Puerto Rico,12063,366,432,548,712,922
51,Virgin Islands,283,1,1,2,2,3
52,Guam,314,8,10,11,13,15
53,West Virginia,4990,807,1103,1468,1849,2140
54,Northern Mariana Islands,37,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
