,State,592,598,605,612,619,626,633
0,Washington,NaN,29245,30585,35416,41045,44179,45158
1,Illinois,NaN,24926,34028,46322,60301,74988,90420
2,California,NaN,98998,117121,145327,181765,221189,256376
3,Arizona,NaN,44343,50243,57012,62567,64848,65143
4,Massachusetts,NaN,11953,10284,10248,11560,14007,16805
5,Wisconsin,NaN,17153,19097,22807,27129,31061,34151
6,Texas,NaN,139521,145480,151401,156717,159768,163360
7,Nebraska,NaN,6994,7855,8680,9389,9896,10358
8,Utah,NaN,13202,14775,16491,17678,17865,16935
9,Oregon,NaN,15130,18458,24096,29890,32380,31522
10,Florida,NaN,151508,151436,153832,158211,162453,157761
11,New York,NaN,83423,106096,134691,169179,200838,218411
12,Rhode Island,NaN,1842,1950,2320,2944,3751,4401
13,Georgia,NaN,92388,103090,114844,122711,121220,116499
14,New Hampshire,NaN,4498,5550,6638,7608,8436,9244
15,North Carolina,NaN,61575,65424,69983,73459,73802,67218
16,New Jersey,NaN,20414,25296,32003,39160,44808,48757
17,Colorado,NaN,14361,15349,16733,18466,20339,22353
18,Maryland,NaN,15033,18156,21812,25770,29342,31312
19,Nevada,NaN,9765,9743,10134,10700,11034,11008
20,Tennessee,NaN,46419,49673,52414,53828,53299,50351
21,Hawaii,NaN,7386,8501,9805,11134,12076,11795
22,Indiana,NaN,51450,56794,62856,68332,71020,70236
23,Kentucky,NaN,41922,45547,47314,45794,42232,37311
24,Minnesota,NaN,17113,20479,24160,27979,31434,35147
25,Oklahoma,NaN,21890,21415,20980,20658,20133,19268
26,Pennsylvania,NaN,56230,74533,96425,118187,135446,151439
27,South Carolina,NaN,47282,51836,56024,58751,58861,54519
28,District of Columbia,NaN,2480,2955,3492,4003,4339,4492
29,Kansas,NaN,13363,13266,13259,13225,12910,12004
30,Missouri,NaN,18522,18050,17841,17877,17977,17815
31,Vermont,NaN,1707,2299,3025,3824,4564,5238
32,Virginia,NaN,39072,46114,53244,58877,61968,59845
33,Connecticut,NaN,6015,7754,10215,13234,16299,18982
34,Iowa,NaN,8002,8161,8370,8687,9059,9931
35,Louisiana,NaN,13528,12041,11570,11591,11717,11496
36,Ohio,NaN,55191,72126,91593,110202,123248,131597
37,Michigan,NaN,34666,50520,68213,85699,100096,111328
38,South Dakota,NaN,4143,5457,6915,8355,9497,9984
39,Arkansas,NaN,17410,17934,18295,17958,16915,15434
40,Delaware,NaN,2896,3434,4413,5663,6556,6835
41,Mississippi,NaN,14778,12545,10831,9482,8350,7312
42,New Mexico,NaN,6841,7883,9694,11421,12312,12816
43,North Dakota,NaN,3756,4422,5163,5880,6441,7102
44,Wyoming,NaN,3922,4140,4436,4757,5022,5194
45,Alaska,NaN,4751,5963,7393,8840,9983,10462
46,Maine,NaN,5806,6882,8249,9909,11484,12527
47,Alabama,NaN,29726,30779,31993,32910,32995,31716
48,Idaho,NaN,9547,10717,11986,13173,13993,14412
49,Montana,NaN,6582,7937,9361,17161,36841,47690
50,Puerto Rico,NaN,6056,6659,7438,8328,9178,9847
51,Virgin Islands,NaN,157,147,143,145,150,140
52,Guam,NaN,746,619,565,558,536,448
53,West Virginia,NaN,17686,20282,22504,23624,23384,22637
54,Northern Mariana Islands,NaN,1,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
