,State,459,465,472,479,486,493,500
0,Washington,NaN,7626,8490,9743,11197,12248,12440
1,Illinois,NaN,22078,21907,18838,15309,13015,11361
2,California,NaN,10831,9129,8722,9341,10614,12068
3,Arizona,NaN,1811,1998,2547,3446,4298,4807
4,Massachusetts,NaN,10165,9916,8833,7295,5928,4800
5,Wisconsin,NaN,4823,4761,4944,5179,5373,5377
6,Texas,NaN,12885,11568,10650,9991,9307,8567
7,Nebraska,NaN,2585,2336,2073,1878,1799,1674
8,Utah,NaN,1744,1711,1838,2118,2483,2674
9,Oregon,NaN,3384,3888,4732,6297,8107,8954
10,Florida,NaN,27221,23790,21492,20220,18984,17367
11,New York,NaN,30275,29309,27504,25096,22438,18974
12,Rhode Island,NaN,2551,2507,2163,1726,1437,1181
13,Georgia,NaN,5719,5423,5458,5767,6211,6467
14,New Hampshire,NaN,1672,1554,1403,1291,1198,1087
15,North Carolina,NaN,10824,11628,12771,14972,17073,17414
16,New Jersey,NaN,17931,17212,14079,10544,8307,6638
17,Colorado,NaN,9015,9359,8685,7719,6662,5331
18,Maryland,NaN,9465,10173,10196,9786,8921,7628
19,Nevada,NaN,1877,1751,1751,2007,2420,2542
20,Tennessee,NaN,7009,6344,6048,6081,5960,5481
21,Hawaii,NaN,794,903,1043,1260,1553,1813
22,Indiana,NaN,9960,10615,12351,15041,16922,17080
23,Kentucky,NaN,2863,2573,2292,2061,1870,1693
24,Minnesota,NaN,13025,13046,12817,12075,10753,9116
25,Oklahoma,NaN,3248,3205,3250,3406,3585,3552
26,Pennsylvania,NaN,23163,23461,23877,24619,24410,21118
27,South Carolina,NaN,5357,5032,4617,4196,3859,3477
28,District of Columbia,NaN,621,617,571,523,488,459
29,Kansas,NaN,1125,946,826,742,655,565
30,Missouri,NaN,3786,3335,2905,2600,2401,2243
31,Vermont,NaN,540,516,498,498,521,538
32,Virginia,NaN,9275,8748,8406,8445,8735,8712
33,Connecticut,NaN,5381,5139,4406,3535,2847,2279
34,Iowa,NaN,4918,4620,4115,3560,3050,2489
35,Louisiana,NaN,2177,2198,2333,2594,2910,3107
36,Ohio,NaN,12542,12120,12476,13441,14369,13869
37,Michigan,NaN,45824,43682,37003,30516,25842,21416
38,South Dakota,NaN,1036,873,679,506,382,286
39,Arkansas,NaN,1209,1403,1408,1392,1443,1488
40,Delaware,NaN,1729,1633,1395,1177,1024,836
41,Mississippi,NaN,1124,1055,1026,1030,1038,1042
42,New Mexico,NaN,1274,1416,1560,1725,1861,1856
43,North Dakota,NaN,1000,834,689,586,524,459
44,Wyoming,NaN,504,506,541,615,663,649
45,Alaska,NaN,1087,1065,985,892,804,707
46,Maine,NaN,1994,2202,2406,2592,2658,2484
47,Alabama,NaN,2139,1912,1962,2273,2679,2926
48,Idaho,NaN,2153,2192,2111,1991,1867,1721
49,Montana,NaN,1150,1135,1114,1126,1147,1146
50,Puerto Rico,NaN,5035,5071,4863,4745,4750,4601
51,Virgin Islands,NaN,42,44,49,57,65,74
52,Guam,NaN,42,41,40,40,41,44
53,West Virginia,NaN,3318,3332,3269,3169,2973,2656
54,Northern Mariana Islands,NaN,4,4,4,4,4,3
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
