,State,508,514,521,528,535,542
0,Washington,NaN,2069,1592,1259,995,653
1,Illinois,NaN,2369,1592,1087,745,498
2,California,NaN,3489,2641,1984,1461,950
3,Arizona,NaN,5422,4782,4156,3493,2300
4,Massachusetts,NaN,644,405,271,188,126
5,Wisconsin,NaN,1881,1506,1209,963,663
6,Texas,NaN,9373,7410,5750,4348,2876
7,Nebraska,NaN,339,243,175,126,87
8,Utah,NaN,1289,1020,825,663,464
9,Oregon,NaN,1188,917,692,506,317
10,Florida,NaN,6110,4241,2868,1877,1071
11,New York,NaN,2863,2275,1968,1763,1231
12,Rhode Island,NaN,179,109,69,46,28
13,Georgia,NaN,2609,2270,1969,1690,1324
14,New Hampshire,NaN,101,60,35,19,10
15,North Carolina,NaN,4344,3823,3466,3129,2457
16,New Jersey,NaN,558,324,196,121,74
17,Colorado,NaN,1595,1128,871,716,568
18,Maryland,NaN,964,764,614,495,397
19,Nevada,NaN,1119,762,552,421,323
20,Tennessee,NaN,2589,2184,1948,1827,1546
21,Hawaii,NaN,218,164,121,87,59
22,Indiana,NaN,4234,3463,2821,2268,1650
23,Kentucky,NaN,1030,885,793,720,603
24,Minnesota,NaN,1453,990,705,518,339
25,Oklahoma,NaN,1181,977,805,656,468
26,Pennsylvania,NaN,1715,1037,650,417,267
27,South Carolina,NaN,1147,910,747,619,451
28,District of Columbia,NaN,36,28,24,21,15
29,Kansas,NaN,1254,1077,916,768,620
30,Missouri,NaN,1405,1275,1235,1247,1245
31,Vermont,NaN,29,18,12,8,5
32,Virginia,NaN,1174,881,667,503,369
33,Connecticut,NaN,286,181,115,72,45
34,Iowa,NaN,636,444,308,212,138
35,Louisiana,NaN,2777,3094,3518,4013,3716
36,Ohio,NaN,2711,2032,1646,1402,1183
37,Michigan,NaN,2061,1433,1119,949,740
38,South Dakota,NaN,95,62,41,26,16
39,Arkansas,NaN,1761,1581,1418,1245,944
40,Delaware,NaN,190,133,94,65,42
41,Mississippi,NaN,1483,1331,1181,1032,830
42,New Mexico,NaN,437,333,253,190,136
43,North Dakota,NaN,335,251,186,136,89
44,Wyoming,NaN,834,716,619,531,411
45,Alaska,NaN,243,188,144,108,73
46,Maine,NaN,195,110,65,40,25
47,Alabama,NaN,2956,2524,2438,2425,1886
48,Idaho,NaN,857,724,614,518,373
49,Montana,NaN,537,401,298,219,151
50,Puerto Rico,NaN,595,492,405,329,249
51,Virgin Islands,NaN,104,100,94,87,76
52,Guam,NaN,34,28,23,19,15
53,West Virginia,NaN,715,669,658,652,549
54,Northern Mariana Islands,NaN,1,1,1,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
