,State,494,500,507,514,521,528,535
0,Washington,NaN,5096,4106,3186,2514,1983,1523
1,Illinois,NaN,4331,2833,1832,1265,939,739
2,California,NaN,5187,4352,3352,2568,1959,1469
3,Arizona,NaN,5003,4837,4151,3502,2922,2379
4,Massachusetts,NaN,1909,1313,846,537,338,210
5,Wisconsin,NaN,3664,3227,2462,1824,1324,941
6,Texas,NaN,12101,10311,8189,6422,5003,3841
7,Nebraska,NaN,769,610,432,303,213,148
8,Utah,NaN,1647,1503,1225,978,767,589
9,Oregon,NaN,2388,2035,1563,1167,851,602
10,Florida,NaN,10833,8535,6097,4222,2850,1865
11,New York,NaN,5457,3731,2503,1709,1180,813
12,Rhode Island,NaN,539,337,197,114,66,37
13,Georgia,NaN,3644,3639,3537,3356,3090,2761
14,New Hampshire,NaN,251,180,116,73,44,26
15,North Carolina,NaN,6442,5481,4879,4515,4160,3649
16,New Jersey,NaN,1442,947,623,410,268,173
17,Colorado,NaN,3273,2448,1821,1411,1129,916
18,Maryland,NaN,2079,1529,1076,775,572,428
19,Nevada,NaN,1528,1289,1030,839,700,595
20,Tennessee,NaN,2784,2433,1953,1572,1275,1032
21,Hawaii,NaN,387,308,231,169,121,85
22,Indiana,NaN,7184,6557,5528,4594,3762,3006
23,Kentucky,NaN,1341,1383,1467,1494,1341,1127
24,Minnesota,NaN,3315,2452,1808,1377,1065,819
25,Oklahoma,NaN,1844,1712,1489,1269,1063,871
26,Pennsylvania,NaN,5008,3501,2542,1969,1556,1201
27,South Carolina,NaN,1785,1448,1194,1028,906,789
28,District of Columbia,NaN,69,45,29,19,12,8
29,Kansas,NaN,1274,1225,1118,994,856,714
30,Missouri,NaN,1937,1790,1649,1613,1642,1677
31,Vermont,NaN,81,55,36,24,16,11
32,Virginia,NaN,1692,1242,921,716,575,467
33,Connecticut,NaN,751,498,340,251,200,167
34,Iowa,NaN,1232,981,732,551,421,323
35,Louisiana,NaN,2852,2836,2776,2715,2652,2573
36,Ohio,NaN,6737,6815,6445,6007,5462,4755
37,Michigan,NaN,7028,5242,3928,3076,2518,2132
38,South Dakota,NaN,150,106,68,43,28,18
39,Arkansas,NaN,2513,2564,2336,2144,2008,1860
40,Delaware,NaN,431,285,180,117,80,58
41,Mississippi,NaN,1550,1442,1274,1110,956,813
42,New Mexico,NaN,548,457,372,310,261,218
43,North Dakota,NaN,470,378,281,209,156,116
44,Wyoming,NaN,890,856,805,769,734,684
45,Alaska,NaN,403,337,263,203,155,116
46,Maine,NaN,642,398,241,153,102,69
47,Alabama,NaN,5212,5278,4861,4300,3708,3137
48,Idaho,NaN,1117,1002,849,718,607,508
49,Montana,NaN,793,633,478,357,264,193
50,Puerto Rico,NaN,1139,974,832,711,604,506
51,Virgin Islands,NaN,76,77,78,78,76,72
52,Guam,NaN,37,31,26,22,19,17
53,West Virginia,NaN,1019,906,770,685,631,584
54,Northern Mariana Islands,NaN,3,2,2,2,1,1
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
