,State,501,507,514,521,528,535,542
0,Washington,NaN,3338,2573,2004,1558,1185,784
1,Illinois,NaN,3325,2260,1663,1312,1077,853
2,California,NaN,5222,4160,3328,2656,2068,1254
3,Arizona,NaN,5558,5091,4629,4127,3503,2293
4,Massachusetts,NaN,1256,646,355,210,133,77
5,Wisconsin,NaN,3034,2482,1980,1539,1154,745
6,Texas,NaN,7606,6052,4738,3645,2733,1814
7,Nebraska,NaN,552,378,255,170,113,72
8,Utah,NaN,1489,1259,1045,854,680,469
9,Oregon,NaN,1862,1429,1073,792,570,356
10,Florida,NaN,8077,6060,4408,3114,2124,1250
11,New York,NaN,3034,2267,1850,1620,1472,1316
12,Rhode Island,NaN,264,160,99,62,39,22
13,Georgia,NaN,3352,3196,3052,2891,2676,2236
14,New Hampshire,NaN,129,81,49,30,18,10
15,North Carolina,NaN,4985,4210,3659,3224,2829,2455
16,New Jersey,NaN,1009,580,365,253,187,148
17,Colorado,NaN,2367,1652,1204,918,720,499
18,Maryland,NaN,995,712,534,417,336,266
19,Nevada,NaN,1299,1143,1031,939,846,754
20,Tennessee,NaN,1871,1618,1426,1269,1122,929
21,Hawaii,NaN,241,177,127,89,61,39
22,Indiana,NaN,5125,4222,3410,2709,2102,1481
23,Kentucky,NaN,1521,1430,1437,1458,1397,1086
24,Minnesota,NaN,2977,2125,1526,1110,810,560
25,Oklahoma,NaN,2133,1792,1487,1228,1002,710
26,Pennsylvania,NaN,3392,2372,1695,1226,882,555
27,South Carolina,NaN,1503,1242,1070,956,866,666
28,District of Columbia,NaN,53,35,23,15,10,5
29,Kansas,NaN,1198,1020,858,720,600,453
30,Missouri,NaN,1323,1109,989,936,927,929
31,Vermont,NaN,48,32,23,16,12,8
32,Virginia,NaN,2718,2064,1612,1306,1080,799
33,Connecticut,NaN,586,419,322,261,215,155
34,Iowa,NaN,1144,816,578,408,287,191
35,Louisiana,NaN,2598,2736,2921,3077,3079,2536
36,Ohio,NaN,4377,3899,3503,3125,2703,1974
37,Michigan,NaN,3404,2440,1867,1472,1158,812
38,South Dakota,NaN,115,71,44,26,16,9
39,Arkansas,NaN,2029,1712,1418,1158,930,670
40,Delaware,NaN,214,130,83,56,39,25
41,Mississippi,NaN,1563,1482,1396,1301,1184,953
42,New Mexico,NaN,438,315,230,171,129,93
43,North Dakota,NaN,376,293,228,179,138,96
44,Wyoming,NaN,885,797,710,627,547,456
45,Alaska,NaN,357,279,215,166,126,84
46,Maine,NaN,349,211,132,84,54,35
47,Alabama,NaN,4859,4744,4512,4168,3708,2785
48,Idaho,NaN,1062,920,796,688,588,424
49,Montana,NaN,490,397,320,258,205,141
50,Puerto Rico,NaN,829,687,568,466,378,285
51,Virgin Islands,NaN,78,77,75,72,66,59
52,Guam,NaN,35,28,23,19,15,13
53,West Virginia,NaN,955,824,729,654,583,448
54,Northern Mariana Islands,NaN,2,1,1,1,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
