,State,424,430,437
0,Washington,5174,56,57
1,Illinois,23357,185,182
2,California,57505,911,892
3,Arizona,16745,158,149
4,Massachusetts,16867,176,167
5,Wisconsin,7240,69,68
6,Texas,47346,805,765
7,Nebraska,2135,20,21
8,Utah,2062,21,21
9,Oregon,2363,36,37
10,Florida,32742,445,423
11,New York,49426,501,455
12,Rhode Island,2595,27,26
13,Georgia,18530,263,257
14,New Hampshire,1217,18,16
15,North Carolina,11820,152,144
16,New Jersey,24174,237,232
17,Colorado,6073,67,66
18,Maryland,8170,112,110
19,Nevada,5172,51,51
20,Tennessee,11709,122,123
21,Hawaii,453,4,4
22,Indiana,12946,102,103
23,Kentucky,5738,381,377
24,Minnesota,6850,50,52
25,Oklahoma,4788,81,81
26,Pennsylvania,24796,221,218
27,South Carolina,9007,118,113
28,District of Columbia,1050,9,8
29,Kansas,4798,36,35
30,Missouri,8718,121,123
31,Vermont,219,4,3
32,Virginia,10117,164,157
33,Connecticut,7832,67,66
34,Iowa,5675,52,51
35,Louisiana,9988,106,103
36,Ohio,18339,314,301
37,Michigan,16906,190,204
38,South Dakota,1923,15,14
39,Arkansas,5539,67,62
40,Delaware,1529,20,20
41,Mississippi,6956,65,64
42,New Mexico,3889,48,51
43,North Dakota,1492,6,6
44,Wyoming,693,5,5
45,Alaska,310,5,5
46,Maine,729,10,8
47,Alabama,10436,106,104
48,Idaho,1941,22,22
49,Montana,1414,26,27
50,Puerto Rico,2096,NaN,NaN
51,Virgin Islands,25,NaN,NaN
52,Guam,134,NaN,NaN
53,West Virginia,2606,65,60
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
