,State,375,381,388
0,Washington,4285,199,201
1,Illinois,21253,549,535
2,California,40928,3524,3342
3,Arizona,13120,801,701
4,Massachusetts,14577,426,375
5,Wisconsin,6434,210,185
6,Texas,37074,2122,2059
7,Nebraska,1920,52,56
8,Utah,1665,65,68
9,Oregon,1957,96,96
10,Florida,26479,1209,1161
11,New York,43634,1252,1165
12,Rhode Island,2154,76,71
13,Georgia,14198,857,780
14,New Hampshire,1057,63,56
15,North Carolina,9335,558,511
16,New Jersey,21484,508,490
17,Colorado,5640,152,162
18,Maryland,7127,248,226
19,Nevada,4270,226,215
20,Tennessee,9650,559,486
21,Hawaii,409,50,42
22,Indiana,9974,297,288
23,Kentucky,3745,324,320
24,Minnesota,6268,124,111
25,Oklahoma,3547,329,309
26,Pennsylvania,21617,943,810
27,South Carolina,7042,517,494
28,District of Columbia,913,32,28
29,Kansas,3767,160,147
30,Missouri,7041,238,233
31,Vermont,174,9,10
32,Virginia,6464,426,436
33,Connecticut,7046,209,200
34,Iowa,4901,150,144
35,Louisiana,8859,325,310
36,Ohio,11175,489,494
37,Michigan,15525,349,349
38,South Dakota,1778,46,41
39,Arkansas,4868,242,212
40,Delaware,1090,50,50
41,Mississippi,6045,254,234
42,New Mexico,3283,146,148
43,North Dakota,1447,16,15
44,Wyoming,596,20,20
45,Alaska,262,16,18
46,Maine,590,46,48
47,Alabama,7688,663,549
48,Idaho,1725,61,58
49,Montana,1233,78,79
50,Puerto Rico,1829,NaN,NaN
51,Virgin Islands,24,NaN,NaN
52,Guam,129,NaN,NaN
53,West Virginia,2024,138,119
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
