,State,396,402,409
0,Washington,4822,116,99
1,Illinois,22466,290,270
2,California,49345,1730,1407
3,Arizona,15505,324,248
4,Massachusetts,15826,237,177
5,Wisconsin,6871,95,85
6,Texas,42162,803,763
7,Nebraska,2047,33,32
8,Utah,1852,37,35
9,Oregon,2155,35,40
10,Florida,29906,885,759
11,New York,46812,862,739
12,Rhode Island,2376,70,48
13,Georgia,16744,577,478
14,New Hampshire,1154,27,27
15,North Carolina,10926,340,301
16,New Jersey,22858,343,289
17,Colorado,5892,85,83
18,Maryland,7715,119,105
19,Nevada,4872,118,92
20,Tennessee,11133,216,197
21,Hawaii,430,8,9
22,Indiana,12372,163,148
23,Kentucky,4447,131,124
24,Minnesota,6500,62,64
25,Oklahoma,4181,137,123
26,Pennsylvania,23565,373,271
27,South Carolina,8324,305,256
28,District of Columbia,995,13,8
29,Kansas,4573,144,110
30,Missouri,8059,186,148
31,Vermont,197,6,6
32,Virginia,7331,200,202
33,Connecticut,7523,103,86
34,Iowa,5336,247,222
35,Louisiana,9466,116,106
36,Ohio,16816,125,150
37,Michigan,16342,186,178
38,South Dakota,1863,17,19
39,Arkansas,5357,69,61
40,Delaware,1367,31,25
41,Mississippi,6553,98,102
42,New Mexico,3624,76,72
43,North Dakota,1468,10,9
44,Wyoming,662,12,11
45,Alaska,289,9,11
46,Maine,658,14,13
47,Alabama,9592,204,145
48,Idaho,1826,22,22
49,Montana,1342,23,29
50,Puerto Rico,1979,NaN,NaN
51,Virgin Islands,25,NaN,NaN
52,Guam,130,NaN,NaN
53,West Virginia,2261,46,43
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
