,State,382,388,395
0,Washington,4449,192,182
1,Illinois,21738,516,550
2,California,44155,2933,2737
3,Arizona,14048,703,566
4,Massachusetts,14999,354,311
5,Wisconsin,6613,226,216
6,Texas,39322,2322,2309
7,Nebraska,1968,79,90
8,Utah,1736,57,61
9,Oregon,2023,121,122
10,Florida,27696,1218,1156
11,New York,44839,1146,1059
12,Rhode Island,2212,75,72
13,Georgia,15092,849,807
14,New Hampshire,1104,56,55
15,North Carolina,9983,808,738
16,New Jersey,21989,466,433
17,Colorado,5731,159,162
18,Maryland,7349,214,207
19,Nevada,4520,202,183
20,Tennessee,10469,711,673
21,Hawaii,417,15,16
22,Indiana,11817,1053,790
23,Kentucky,4051,383,376
24,Minnesota,6367,136,133
25,Oklahoma,3813,344,352
26,Pennsylvania,22416,667,595
27,South Carolina,7651,578,548
28,District of Columbia,952,29,26
29,Kansas,4075,241,221
30,Missouri,7449,371,368
31,Vermont,183,15,18
32,Virginia,6778,419,425
33,Connecticut,7214,184,181
34,Iowa,5108,304,274
35,Louisiana,9119,323,324
36,Ohio,11659,607,609
37,Michigan,15854,390,396
38,South Dakota,1809,43,43
39,Arkansas,5076,260,246
40,Delaware,1208,82,78
41,Mississippi,6269,273,264
42,New Mexico,3399,143,143
43,North Dakota,1453,17,19
44,Wyoming,624,28,38
45,Alaska,279,20,21
46,Maine,635,52,48
47,Alabama,8515,745,658
48,Idaho,1767,69,74
49,Montana,1314,91,100
50,Puerto Rico,1883,NaN,NaN
51,Virgin Islands,24,NaN,NaN
52,Guam,129,NaN,NaN
53,West Virginia,2129,135,130
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
