,Region,495,500,507
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,25941,23866
5,Estonia,,NaN,NaN
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,NaN,NaN
11,Italy,,NaN,NaN
12,Cyprus,,NaN,NaN
13,Latvia,,NaN,NaN
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,NaN,NaN
21,Portugal,,NaN,NaN
22,Romania,,NaN,NaN
23,Slovenia,,NaN,NaN
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
