,Region,767,773,780,787,794
0,Belgium,49811,49811,49811,49811,49811
1,Bulgaria,20872,20872,20872,20872,20872
2,Czechia,68252,68252,68252,68252,68252
3,Denmark,172552,172552,172552,172552,172552
4,Germany,1112472,1112472,1112472,1112472,1112472
5,Estonia,32402,32402,32402,32402,32402
6,Ireland,27088,27088,27088,27088,27088
7,Greece,106475,106475,106475,106475,106475
8,Spain,168302,168302,168302,168302,168302
9,France,416577,416577,416577,416577,416577
10,Croatia,13384,13384,13384,13384,13384
11,Italy,294583,294583,294583,294583,294583
12,Cyprus,13941,13941,13941,13941,13941
13,Latvia,63560,63560,63560,63560,63560
14,Lithuania,38470,38470,38470,38470,38470
15,Luxembourg,4531,4531,4531,4531,4531
16,Hungary,32750,32750,32750,32750,32750
17,Malta,570,570,570,570,570
18,Netherlands,235507,235507,235507,235507,235507
19,Austria,186433,186433,186433,186433,186433
20,Poland,106504,106504,106504,106504,106504
21,Portugal,71020,71020,71020,71020,71020
22,Romania,65097,65097,65097,65097,65097
23,Slovenia,13914,13914,13914,13914,13914
24,Slovakia,111629,111629,111629,111629,111629
25,Finland,32683,32683,32683,32683,32683
26,Sweden,18286,18286,18286,18286,18286
27,United Kingdom,191954,191954,191954,191954,191954
28,Iceland,21287,21287,21287,21287,21287
29,Liechtenstein,571,571,571,571,571
30,Norway,95357,95357,95357,95357,95357
31,Switzerland,101024,101024,101024,101024,101024
