,Region,634,640,647,654,661
0,Belgium,18767,18767,18767,18767,18767
1,Bulgaria,19757,19757,19757,19757,19757
2,Czechia,9182,9182,9182,9182,9182
3,Denmark,4852,4852,4852,4852,4852
4,Germany,63582,63582,63582,63582,63582
5,Estonia,7896,7896,7896,7896,7896
6,Ireland,11957,11957,11957,11957,11957
7,Greece,17087,17087,17087,17087,17087
8,Spain,10767,10767,10767,10767,10767
9,France,33500,33500,33500,33500,33500
10,Croatia,10056,10056,10056,10056,10056
11,Italy,17583,17583,17583,17583,17583
12,Cyprus,1003,1003,1003,1003,1003
13,Latvia,14338,14338,14338,14338,14338
14,Lithuania,16702,16702,16702,16702,16702
15,Luxembourg,702,702,702,702,702
16,Hungary,5705,5705,5705,5705,5705
17,Malta,106,106,106,106,106
18,Netherlands,24402,24402,24402,24402,24402
19,Austria,14564,14564,14564,14564,14564
20,Poland,17189,17189,17189,17189,17189
21,Portugal,4494,4494,4494,4494,4494
22,Romania,100620,100620,100620,100620,100620
23,Slovenia,6678,6678,6678,6678,6678
24,Slovakia,11816,11816,11816,11816,11816
25,Finland,4218,4218,4218,4218,4218
26,Sweden,4111,4111,4111,4111,4111
27,United Kingdom,296096,296096,296096,296096,296096
28,Iceland,308,308,308,308,308
29,Liechtenstein,17,17,17,17,17
30,Norway,2789,2789,2789,2789,2789
31,Switzerland,6173,6173,6173,6173,6173
