,Region,725,731,738,745,752
0,Belgium,179045,179045,179045,179045,179045
1,Bulgaria,40191,40191,40191,40191,40191
2,Czechia,68293,68293,68293,68293,68293
3,Denmark,167057,167057,167057,167057,167057
4,Germany,467596,467596,467596,467596,467596
5,Estonia,14578,14578,14578,14578,14578
6,Ireland,125385,125385,125385,125385,125385
7,Greece,153255,153255,153255,153255,153255
8,Spain,928130,928130,928130,928130,928130
9,France,2052450,2052450,2052450,2052450,2052450
10,Croatia,51830,51830,51830,51830,51830
11,Italy,1269976,1269976,1269976,1269976,1269976
12,Cyprus,21366,21366,21366,21366,21366
13,Latvia,15943,15943,15943,15943,15943
14,Lithuania,25617,25617,25617,25617,25617
15,Luxembourg,11137,11137,11137,11137,11137
16,Hungary,44057,44057,44057,44057,44057
17,Malta,3324,3324,3324,3324,3324
18,Netherlands,236371,236371,236371,236371,236371
19,Austria,104168,104168,104168,104168,104168
20,Poland,99839,99839,99839,99839,99839
21,Portugal,245128,245128,245128,245128,245128
22,Romania,58891,58891,58891,58891,58891
23,Slovenia,42550,42550,42550,42550,42550
24,Slovakia,20430,20430,20430,20430,20430
25,Finland,65613,65613,65613,65613,65613
26,Sweden,143713,143713,143713,143713,143713
27,United Kingdom,752842,752842,752842,752842,752842
28,Iceland,8527,8527,8527,8527,8527
29,Liechtenstein,543,543,543,543,543
30,Norway,68025,68025,68025,68025,68025
31,Switzerland,183229,183229,183229,183229,183229
