,State,481,486,493,500,507,514,521
0,Washington,NaN,58,55,51,48,45,42
1,Illinois,NaN,179,147,121,104,103,117
2,California,NaN,288,251,236,229,229,240
3,Arizona,NaN,32,24,18,14,12,10
4,Massachusetts,NaN,46,34,26,21,18,18
5,Wisconsin,NaN,55,45,37,31,29,28
6,Texas,NaN,247,212,174,148,140,144
7,Nebraska,NaN,16,17,16,17,17,17
8,Utah,NaN,22,23,23,23,23,23
9,Oregon,NaN,31,31,31,31,31,31
10,Florida,NaN,303,246,198,163,149,153
11,New York,NaN,216,154,116,93,84,88
12,Rhode Island,NaN,13,13,13,13,13,13
13,Georgia,NaN,95,71,52,42,36,35
14,New Hampshire,NaN,14,15,15,15,15,15
15,North Carolina,NaN,77,67,57,50,45,42
16,New Jersey,NaN,120,75,42,22,14,16
17,Colorado,NaN,74,69,69,70,73,77
18,Maryland,NaN,49,39,28,21,15,14
19,Nevada,NaN,40,40,40,41,40,40
20,Tennessee,NaN,39,31,25,20,18,16
21,Hawaii,NaN,5,4,4,4,4,4
22,Indiana,NaN,54,47,41,36,33,30
23,Kentucky,NaN,53,43,36,32,28,26
24,Minnesota,NaN,58,44,34,27,23,22
25,Oklahoma,NaN,45,45,45,45,45,45
26,Pennsylvania,NaN,226,146,112,90,81,81
27,South Carolina,NaN,60,45,39,36,36,38
28,District of Columbia,NaN,7,6,6,6,6,6
29,Kansas,NaN,23,23,23,23,23,23
30,Missouri,NaN,43,36,31,28,26,25
31,Vermont,NaN,2,2,2,2,2,2
32,Virginia,NaN,88,74,59,47,41,42
33,Connecticut,NaN,44,44,44,44,44,44
34,Iowa,NaN,32,30,30,30,30,29
35,Louisiana,NaN,44,41,39,37,36,35
36,Ohio,NaN,27,30,30,30,30,30
37,Michigan,NaN,334,259,198,155,133,131
38,South Dakota,NaN,9,9,9,9,9,9
39,Arkansas,NaN,24,25,25,25,25,25
40,Delaware,NaN,11,12,12,12,12,12
41,Mississippi,NaN,25,25,25,25,25,25
42,New Mexico,NaN,28,28,27,28,28,28
43,North Dakota,NaN,6,6,6,6,6,6
44,Wyoming,NaN,2,2,2,2,2,2
45,Alaska,NaN,2,2,2,2,2,2
46,Maine,NaN,9,9,9,9,9,9
47,Alabama,NaN,64,64,67,71,76,80
48,Idaho,NaN,13,13,14,13,13,13
49,Montana,NaN,12,12,12,12,12,12
50,Puerto Rico,NaN,43,28,18,13,10,11
51,Virgin Islands,NaN,0,0,0,0,0,0
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,34,33,33,33,34,34
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
