,State,600,605,612,619,626,633,640
0,Washington,NaN,226,239,243,248,252,258
1,Illinois,NaN,178,177,173,170,165,160
2,California,NaN,524,439,379,343,349,377
3,Arizona,NaN,187,176,162,153,151,150
4,Massachusetts,NaN,70,73,75,78,81,86
5,Wisconsin,NaN,96,96,97,99,103,106
6,Texas,NaN,2223,2327,2384,2486,2728,3100
7,Nebraska,NaN,17,17,17,17,17,17
8,Utah,NaN,46,43,41,39,36,35
9,Oregon,NaN,141,143,138,134,132,131
10,Florida,NaN,1797,1823,2264,1812,2248,2211
11,New York,NaN,257,301,328,353,386,414
12,Rhode Island,NaN,12,12,12,12,12,12
13,Georgia,NaN,619,656,655,659,665,673
14,New Hampshire,NaN,11,11,11,11,11,11
15,North Carolina,NaN,366,362,349,338,330,322
16,New Jersey,NaN,115,120,124,129,131,132
17,Colorado,NaN,92,103,112,122,130,138
18,Maryland,NaN,110,117,123,129,135,138
19,Nevada,NaN,135,128,125,123,121,121
20,Tennessee,NaN,255,218,224,241,257,270
21,Hawaii,NaN,28,26,26,26,26,27
22,Indiana,NaN,198,192,181,172,164,157
23,Kentucky,NaN,158,146,143,143,142,140
24,Minnesota,NaN,40,40,40,40,40,40
25,Oklahoma,NaN,82,82,82,82,82,82
26,Pennsylvania,NaN,218,248,262,263,254,236
27,South Carolina,NaN,326,320,317,326,339,353
28,District of Columbia,NaN,3,4,4,4,4,4
29,Kansas,NaN,57,57,57,57,57,57
30,Missouri,NaN,173,168,165,167,175,185
31,Vermont,NaN,5,5,5,6,5,5
32,Virginia,NaN,141,147,150,149,147,143
33,Connecticut,NaN,25,25,25,25,25,25
34,Iowa,NaN,16,16,16,16,16,16
35,Louisiana,NaN,159,134,111,98,90,88
36,Ohio,NaN,24,31,35,35,34,32
37,Michigan,NaN,133,133,132,133,134,133
38,South Dakota,NaN,7,7,7,7,7,7
39,Arkansas,NaN,184,146,127,116,110,109
40,Delaware,NaN,15,15,15,15,15,15
41,Mississippi,NaN,328,295,252,227,221,229
42,New Mexico,NaN,39,40,39,39,39,39
43,North Dakota,NaN,7,7,7,7,7,7
44,Wyoming,NaN,17,17,17,17,17,17
45,Alaska,NaN,11,11,11,11,11,11
46,Maine,NaN,14,13,14,13,14,13
47,Alabama,NaN,170,142,122,113,113,118
48,Idaho,NaN,105,129,150,167,177,181
49,Montana,NaN,25,25,25,25,26,25
50,Puerto Rico,NaN,46,36,27,21,21,24
51,Virgin Islands,NaN,6,6,5,6,5,6
52,Guam,NaN,4,4,4,4,4,4
53,West Virginia,NaN,82,96,104,106,104,100
54,Northern Mariana Islands,NaN,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
