,State,572,577,584,591,598,605,612
0,Washington,NaN,101,123,140,137,120,107
1,Illinois,NaN,100,104,113,122,127,130
2,California,NaN,436,464,485,494,490,477
3,Arizona,NaN,137,159,173,174,169,156
4,Massachusetts,NaN,30,30,30,30,30,30
5,Wisconsin,NaN,23,23,22,23,23,22
6,Texas,NaN,759,893,955,959,936,897
7,Nebraska,NaN,5,5,5,5,5,5
8,Utah,NaN,27,28,28,27,28,28
9,Oregon,NaN,29,29,29,29,29,29
10,Florida,NaN,282,282,282,282,282,282
11,New York,NaN,368,178,193,195,187,177
12,Rhode Island,NaN,1,2,1,2,2,1
13,Georgia,NaN,241,320,363,349,306,273
14,New Hampshire,NaN,3,3,3,3,3,3
15,North Carolina,NaN,109,112,110,96,77,62
16,New Jersey,NaN,38,39,39,39,39,39
17,Colorado,NaN,37,37,37,37,37,37
18,Maryland,NaN,27,27,27,27,27,27
19,Nevada,NaN,126,131,133,135,138,139
20,Tennessee,NaN,129,134,136,131,119,106
21,Hawaii,NaN,9,7,7,7,7,7
22,Indiana,NaN,47,47,46,47,47,47
23,Kentucky,NaN,35,35,35,35,35,35
24,Minnesota,NaN,23,23,23,23,23,23
25,Oklahoma,NaN,31,31,31,31,31,31
26,Pennsylvania,NaN,40,43,43,43,43,43
27,South Carolina,NaN,43,43,44,44,44,43
28,District of Columbia,NaN,1,1,1,1,1,1
29,Kansas,NaN,45,45,45,45,45,45
30,Missouri,NaN,153,145,144,144,143,141
31,Vermont,NaN,1,1,1,1,1,1
32,Virginia,NaN,30,30,30,30,30,30
33,Connecticut,NaN,5,5,5,5,5,5
34,Iowa,NaN,11,11,11,10,10,10
35,Louisiana,NaN,375,441,447,424,407,398
36,Ohio,NaN,6,6,6,6,6,6
37,Michigan,NaN,43,44,43,43,44,44
38,South Dakota,NaN,2,3,3,3,3,3
39,Arkansas,NaN,206,226,247,263,277,290
40,Delaware,NaN,3,3,3,3,3,3
41,Mississippi,NaN,210,275,313,289,258,241
42,New Mexico,NaN,17,17,17,17,16,16
43,North Dakota,NaN,2,2,2,2,2,2
44,Wyoming,NaN,8,8,8,8,8,8
45,Alaska,NaN,5,5,5,5,5,5
46,Maine,NaN,5,5,5,5,5,5
47,Alabama,NaN,199,220,246,246,234,217
48,Idaho,NaN,17,17,17,17,17,17
49,Montana,NaN,9,9,9,9,9,9
50,Puerto Rico,NaN,29,25,26,26,26,26
51,Virgin Islands,NaN,2,2,2,2,2,2
52,Guam,NaN,0,0,0,0,0,0
53,West Virginia,NaN,13,13,14,13,14,13
54,Northern Mariana Islands,NaN,0,0,0,0,0,0
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
