,Region,515,521,528,535,542
0,Belgium,,34,25,18,14
1,Bulgaria,,50,38,30,25
2,Czechia,,32,24,18,14
3,Denmark,,5,4,3,2
4,Germany,,310,226,158,112
5,Estonia,,2,2,1,1
6,Ireland,,15,16,17,18
7,Greece,,99,79,62,51
8,Spain,,163,135,108,87
9,France,,264,243,220,204
10,Croatia,,26,19,14,11
11,Italy,,191,137,97,69
12,Cyprus,,2,2,2,2
13,Latvia,,29,25,21,18
14,Lithuania,,18,13,10,9
15,Luxembourg,,1,1,0,0
16,Hungary,,24,15,9,6
17,Malta,,0,0,0,0
18,Netherlands,,17,12,9,7
19,Austria,,13,9,7,5
20,Poland,,149,97,65,44
21,Portugal,,26,36,51,71
22,Romania,,467,296,176,101
23,Slovenia,,8,6,4,3
24,Slovakia,,22,17,13,11
25,Finland,,3,3,2,2
26,Sweden,,23,18,14,12
27,United Kingdom,,146,206,284,393
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,3,3,2,2
31,Switzerland,,10,8,6,5
