,Region,466,472,479,486,493
0,Belgium,,240,228,207,198
1,Bulgaria,,446,377,323,293
2,Czechia,,0,0,0,0
3,Denmark,,18,18,18,19
4,Germany,,1432,1314,1178,1019
5,Estonia,,27,22,20,19
6,Ireland,,33,32,33,36
7,Greece,,388,336,282,252
8,Spain,,0,0,0,0
9,France,,0,0,0,0
10,Croatia,,320,320,306,296
11,Italy,,1588,1348,1143,950
12,Cyprus,,17,17,18,18
13,Latvia,,50,51,52,54
14,Lithuania,,105,112,118,120
15,Luxembourg,,7,7,6,7
16,Hungary,,902,740,619,535
17,Malta,,2,2,1,1
18,Netherlands,,138,135,130,124
19,Austria,,143,130,120,110
20,Poland,,2059,1677,1368,1154
21,Portugal,,20,21,22,25
22,Romania,,695,590,478,399
23,Slovenia,,47,45,43,43
24,Slovakia,,249,212,189,181
25,Finland,,9,8,7,7
26,Sweden,,142,142,128,118
27,United Kingdom,,0,0,0,0
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,13,11,10,10
31,Switzerland,,48,37,27,19
