,Region,529,535,542,549,556
0,Belgium,,17,13,11,10
1,Bulgaria,,29,23,19,16
2,Czechia,,12,11,11,11
3,Denmark,,3,3,4,5
4,Germany,,157,118,91,75
5,Estonia,,1,0,0,0
6,Ireland,,12,13,15,17
7,Greece,,67,69,82,104
8,Spain,,156,171,185,199
9,France,,153,156,174,214
10,Croatia,,12,10,9,10
11,Italy,,120,118,130,154
12,Cyprus,,6,9,12,16
13,Latvia,,15,12,10,8
14,Lithuania,,9,7,5,4
15,Luxembourg,,1,1,1,1
16,Hungary,,8,5,4,3
17,Malta,,0,0,0,0
18,Netherlands,,14,19,32,56
19,Austria,,7,6,5,5
20,Poland,,59,40,28,23
21,Portugal,,43,58,80,110
22,Romania,,489,402,340,294
23,Slovenia,,2,2,1,1
24,Slovakia,,8,6,5,4
25,Finland,,4,5,6,7
26,Sweden,,14,12,10,9
27,United Kingdom,,282,440,694,1108
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,2,2,2,2
31,Switzerland,,6,5,4,4
