,Region,781,787,794,801,808
0,Belgium,,71050,103712,159253,246647
1,Bulgaria,,11058,10674,11109,12365
2,Czechia,,54728,60927,73478,94133
3,Denmark,,115230,153680,174762,154282
4,Germany,,1660051,2115202,2631675,3028014
5,Estonia,,14523,12308,11505,11639
6,Ireland,,29071,36855,49689,69467
7,Greece,,135164,169771,220212,283285
8,Spain,,144444,170739,220074,304172
9,France,,546680,717426,1009850,1451513
10,Croatia,,9453,10160,11997,15422
11,Italy,,346766,460100,658878,986137
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,39244,35312,34030,34463
14,Lithuania,,33307,36807,43047,51785
15,Luxembourg,,7459,9044,11700,15395
16,Hungary,,13316,11467,10646,10644
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,539724,615911,600328,509493
19,Austria,,288498,317143,317295,283251
20,Poland,,76608,80090,90411,108981
21,Portugal,,83995,109056,152035,216866
22,Romania,,21637,16362,13281,11428
23,Slovenia,,15916,21196,30685,46106
24,Slovakia,,77445,77196,81604,90459
25,Finland,,88016,146475,229350,302494
26,Sweden,,11638,9908,8661,8507
27,United Kingdom,,562135,841372,1295818,1965514
28,Iceland,,7163,5511,5691,7224
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,41528,35087,32835,33435
31,Switzerland,,250411,335794,382365,346771
