,Region,662,668,675,682,689,696,703,710,717,724,731,738,745,752,759,766,773,780,787,794
0,Belgium,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Czechia,,92558,94646,65760,33826,15286,7503,4910,4341,5108,6071,7213,8562,10162,12059,14307,16971,20125,23858,28273
3,Denmark,,26254,31100,36682,43253,50907,59773,69957,81503,94311,98955,81908,56332,34059,19164,10442,5640,3060,1678,933
4,Germany,,362994,419190,495693,585642,668369,643019,531928,384029,261143,189805,167013,193047,229498,271949,321711,380247,448934,529280,622866
5,Estonia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Ireland,,30640,36203,37888,31140,21925,13921,9105,7209,7715,9307,11002,13019,15396,18150,20671,22507,23330,22974,21507
7,Greece,,56277,52966,38166,24077,14177,9286,8041,9339,11120,13207,15666,18580,22028,26107,30926,36615,43322,47240,43309
8,Spain,,22215,25319,30047,35665,42325,50219,59572,70649,83760,99267,117589,139216,164706,187195,179271,147458,105883,71850,52315
9,France,,53486,62227,73789,87536,103816,123085,145878,172814,204612,242098,286214,338017,398670,469409,543415,541602,463680,345626,238169
10,Croatia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Italy,,70815,82882,98242,116508,138116,163667,193849,229458,271406,320722,340946,307070,238245,165149,113731,88453,87668,106668,125772
12,Cyprus,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Latvia,,6198,3466,2440,2196,2601,3084,3659,4335,5134,6076,7186,8491,10021,11691,11812,10218,7661,5261,3721
14,Lithuania,,14553,10336,8000,6534,6418,7723,9109,10770,12719,15002,17664,20078,19334,16053,11677,8020,5883,5206,6021
15,Luxembourg,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Hungary,,54838,47345,30403,14364,5140,1984,1045,723,677,815,965,1147,1362,1618,1922,2282,2711,3219,3823
17,Malta,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Netherlands,,90873,105539,124211,146022,171177,199897,226420,219417,184119,136296,92472,59121,36626,22387,13658,8373,5179,3238,2047
19,Austria,,89669,103936,119851,106040,77373,49602,30507,21569,20148,24096,28451,33644,39727,46846,55146,64771,75848,84618,81775
20,Poland,,119534,138043,157739,141056,106422,70069,44363,31837,29757,35878,42463,50411,59817,70964,84168,99799,118291,138841,141130
21,Portugal,,8704,8903,9555,10359,11363,12570,13971,15536,17212,18914,20523,21894,22870,23308,23107,22235,20735,18727,16380
22,Romania,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Slovenia,,23122,16529,9885,5271,3022,2279,2347,2858,3374,3999,4739,5613,6644,7859,9288,10966,12930,15220,17019
24,Slovakia,,45896,39147,26397,14922,8184,5343,4729,5542,6589,7826,9286,11015,13063,15487,18354,21741,25739,30451,34348
25,Finland,,4106,4609,5457,6477,7686,9118,10815,12823,15198,18004,21317,25222,29815,35206,41513,48858,56810,57299,49577
26,Sweden,,5746,6728,8000,9495,11268,13369,15859,18807,22297,26424,31300,37055,43837,51816,61181,71374,71993,62156,46499
27,United Kingdom,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Norway,,13305,15537,18400,21781,25764,30447,35938,42357,49439,50283,43780,33067,22825,16153,13274,14174,17062,20118,23730
31,Switzerland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
