,Region,669,675,682,689,696,703,710,717,724,731,738,745,752,759,766,773,780,787,794,801
0,Belgium,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Czechia,,117057,89997,48978,19759,6312,2569,1385,995,973,1186,1402,1666,1978,2349,2790,3313,3934,4671,5545
3,Denmark,,31796,37141,43782,51539,60528,68716,60090,40770,22771,11875,7121,5764,6326,7596,9001,10661,12621,14931,17597
4,Germany,,434524,508227,552259,413016,240422,114407,52111,28728,21323,21326,25996,30719,36473,43301,51403,61015,72413,85926,101941
5,Estonia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Ireland,,28882,25185,17044,9776,5182,3099,2470,2619,2852,3085,3319,3551,3777,3988,4177,4334,4450,4519,4532
7,Greece,,45298,31651,19300,11149,6925,5627,6224,7476,8873,10528,12490,14813,17564,20818,24664,29205,34560,39324,41066
8,Spain,,33321,37981,45043,53433,63364,75117,89013,105428,124795,147611,174437,205898,224836,185145,120328,64452,32860,20096,16735
9,France,,122354,141314,168252,199113,235457,278163,328172,341309,299524,230801,165496,125895,116155,134937,150234,161873,167507,166002,157246
10,Croatia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Italy,,83393,98979,117277,138991,164650,194934,230624,269454,267196,223388,161250,108207,77571,68542,80202,95245,112961,133671,151287
12,Cyprus,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Latvia,,4017,2860,2715,3270,3863,4578,5420,6414,7583,8957,10566,12425,13493,13110,11378,9055,7077,5945,5882
14,Lithuania,,10114,8685,8606,10199,12026,14175,16668,19549,22847,25259,23347,18518,12832,8444,6037,4687,3549,2706,2078
15,Luxembourg,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Hungary,,54755,36821,18648,7029,2413,1146,703,577,641,770,915,1086,1290,1533,1820,2162,2567,3048,3620
17,Malta,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Netherlands,,135887,156660,183501,211205,199156,157817,106724,65924,42988,33948,33005,30686,28319,25816,23279,20782,18382,16114,14000
19,Austria,,106753,95923,56884,26387,11092,5341,3448,2957,3400,4055,4818,5717,6782,8045,9540,11309,13400,15872,18763
20,Poland,,162209,159275,121812,72834,38242,20908,14087,12934,15443,18315,21758,25832,30667,36402,43205,51271,60831,72158,85571
21,Portugal,,12334,13413,15387,17704,20444,23569,26966,30431,33657,36263,37857,38130,36947,34397,30773,26493,21997,17659,13743
22,Romania,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Slovenia,,20602,12987,7266,4023,2643,2379,2815,3338,3959,4692,5557,6578,7781,9196,10858,12803,15070,17701,20731
24,Slovakia,,67076,47229,23836,9154,3645,1893,1317,1244,1505,1781,2115,2512,2982,3541,4204,4990,5922,7027,8338
25,Finland,,9167,10476,12424,14728,17453,20493,20185,16625,12005,8260,6284,6124,7442,8789,10424,12357,14642,17341,20525
26,Sweden,,7008,8100,9620,11417,13546,16069,19057,22594,26777,31721,37556,44434,52527,62029,73096,85259,98792,114374,132812
27,United Kingdom,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,Iceland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Norway,,16294,19031,22526,26615,26496,20848,13660,8169,5239,4255,4726,5670,6729,7981,9464,11219,13294,15744,18636
31,Switzerland,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
