,Region,809,815,822,829,836
0,Belgium,,49859,45741,42406,39644
1,Bulgaria,,3434,2324,1579,1058
2,Czechia,,22869,16832,12663,9581
3,Denmark,,17383,18526,22963,32361
4,Germany,,948950,851607,830295,865915
5,Estonia,,4992,4718,4952,5540
6,Ireland,,13381,8673,5978,4111
7,Greece,,78306,60881,49123,40578
8,Spain,,79691,79904,88420,107094
9,France,,1015456,1094223,1229846,1415007
10,Croatia,,6099,5168,4448,3848
11,Italy,,424585,431633,439658,446418
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,5127,3806,3238,3053
14,Lithuania,,9352,7417,6031,4945
15,Luxembourg,,5060,3908,3018,2319
16,Hungary,,12445,12086,11660,11136
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,48460,31096,23053,19062
19,Austria,,86043,70290,66710,71681
20,Poland,,5535,2229,954,401
21,Portugal,,56235,54264,55561,57624
22,Romania,,10290,7239,5079,3542
23,Slovenia,,13041,13022,14468,17450
24,Slovakia,,27081,23134,22077,22750
25,Finland,,19402,12937,8822,6025
26,Sweden,,4104,2948,2258,1752
27,United Kingdom,,216756,151641,110372,81807
28,Iceland,,1340,1420,1907,3026
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,5408,3983,3121,2525
31,Switzerland,,9444,3588,1601,775
