,Region,823,829,836,843,850
0,Belgium,,32608,26189,21312,17497
1,Bulgaria,,2939,2470,2056,1684
2,Czechia,,11284,8733,6877,5420
3,Denmark,,11690,11886,12661,13960
4,Germany,,734918,714320,686616,648558
5,Estonia,,2573,2183,1890,1645
6,Ireland,,8113,6714,5603,4660
7,Greece,,33342,24132,18116,13851
8,Spain,,163149,286138,486531,793094
9,France,,505094,399298,325021,268612
10,Croatia,,4605,4632,4693,4745
11,Italy,,440700,469700,491728,503873
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,4432,4545,4738,4964
14,Lithuania,,4909,3856,3080,2463
15,Luxembourg,,3164,1072,351,131
16,Hungary,,10501,10277,9953,9446
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,14261,8566,5453,3537
19,Austria,,49627,45047,42888,41871
20,Poland,,5908,5291,4679,4049
21,Portugal,,76945,95171,115909,137956
22,Romania,,5185,3783,2786,2043
23,Slovenia,,6726,5668,4942,4371
24,Slovakia,,14237,13091,12375,11836
25,Finland,,79544,132106,190734,229777
26,Sweden,,2395,1882,1517,1227
27,United Kingdom,,149431,130970,116613,104835
28,Iceland,,2249,4801,9385,14164
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,3731,3632,3579,3552
31,Switzerland,,17002,12308,9107,6778
