,County,194,199,206,213,220,227,234,241
0,01001,1024,82,70,71,70,69,67,66
1,01003,3210,522,557,593,629,658,682,695
2,01005,563,24,16,14,12,10,9,7
3,01007,374,28,29,29,30,29,28,27
4,01009,736,145,173,199,219,237,255,270
5,01011,438,6,5,5,4,3,3,2
6,01013,752,25,16,13,10,8,6,5
7,01015,1560,518,549,596,616,615,598,568
8,01017,821,20,15,13,12,11,10,9
9,01019,242,27,18,18,17,15,14,13
10,01021,710,107,106,114,121,126,129,133
11,01023,274,4,2,2,1,1,1,1
12,01025,486,34,35,36,36,36,37,36
13,01027,217,46,36,35,32,29,24,22
14,01029,121,5,3,3,3,2,2,2
15,01031,709,47,45,44,42,40,38,36
16,01033,1093,178,183,181,176,169,157,146
17,01035,373,26,19,17,15,13,11,9
18,01037,92,1,0,0,0,0,0,0
19,01039,709,70,59,58,57,56,54,51
20,01041,286,42,46,45,45,42,38,34
21,01043,1141,125,95,71,49,35,23,15
22,01045,785,64,60,60,59,57,54,52
23,01047,1288,62,47,41,35,28,23,20
24,01049,1701,181,188,193,196,197,197,193
25,01051,1602,124,117,114,109,106,100,95
26,01053,979,101,91,75,63,51,40,31
27,01055,1930,233,241,241,237,231,224,214
28,01057,174,12,14,15,16,18,19,20
29,01059,1196,82,68,61,55,47,41,35
30,01061,232,32,21,16,12,8,5,3
31,01063,242,1,0,0,0,0,0,0
32,01065,459,8,6,4,3,2,1,1
33,01067,245,14,8,6,4,2,1,1
34,01069,1319,184,166,155,137,122,106,91
35,01071,828,205,228,251,268,281,283,282
36,01073,11859,1461,1507,1512,1495,1466,1415,1360
37,01075,198,16,16,17,18,18,18,18
38,01077,1071,155,160,168,168,169,167,162
39,01079,310,44,49,57,63,71,78,84
40,01081,2505,214,213,212,211,209,207,200
41,01083,1196,169,174,180,184,181,181,175
42,01085,552,2,1,0,0,0,0,0
43,01087,309,9,4,2,1,0,0,0
44,01089,5014,692,711,742,770,791,803,815
45,01091,520,21,12,11,9,7,6,5
46,01093,542,45,48,51,54,56,59,61
47,01095,2966,303,273,270,263,254,243,233
48,01097,9086,2444,2536,2831,3105,3353,3585,3754
49,01099,391,12,7,4,2,1,0,0
50,01101,6249,460,351,288,231,185,145,114
51,01103,2223,261,216,183,152,124,100,78
52,01105,429,29,24,26,26,26,26,26
53,01107,367,17,16,16,16,16,15,15
54,01109,660,37,21,14,9,5,3,1
55,01111,388,9,7,6,5,4,3,3
56,01113,1233,148,125,116,105,94,83,71
57,01115,1217,165,187,197,198,201,198,193
58,01117,3050,359,370,365,360,353,344,328
59,01119,361,3,2,1,0,0,0,0
60,01121,918,161,161,160,154,146,135,124
61,01123,814,23,23,23,22,21,20,20
62,01125,3974,307,275,261,243,230,213,196
63,01127,1470,37,26,18,12,9,6,4
64,01129,310,16,8,4,2,1,0,0
65,01131,405,8,5,4,3,2,1,1
66,01133,429,27,29,30,30,30,30,29
67,02013,1,,,,,,,NaN
68,02016,5,,,,,,,NaN
69,02020,1918,588,561,535,482,422,360,297
70,02050,22,1,0,0,0,0,0,0
71,02060,6,0,0,0,0,0,0,0
72,02068,1,,,,,,,NaN
73,02070,1,0,0,0,0,0,0,0
74,02090,410,22,23,24,23,24,24,23
75,02100,4,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,91,5,3,2,1,1,0,0
78,02122,304,14,8,4,2,1,0,0
79,02130,35,0,0,0,0,0,0,0
80,02150,6,0,0,0,0,0,0,0
81,02158,5,,,,,,,NaN
82,02164,0,,,,,,,NaN
83,02170,305,78,89,104,116,125,132,133
84,02180,17,0,0,0,0,0,0,0
85,02185,15,0,0,0,0,0,0,0
