,County,271,276,283,290,297,304,311,318
0,01001,1999,55,55,51,49,45,43,40
1,01003,6375,125,116,109,103,95,90,84
2,01005,981,18,14,12,10,8,7,5
3,01007,789,36,29,28,25,23,21,20
4,01009,1838,91,81,79,76,72,69,66
5,01011,635,3,3,2,2,2,1,1
6,01013,998,20,14,11,8,6,5,3
7,01015,4102,187,177,156,138,118,101,87
8,01017,1273,4,4,4,3,3,2,2
9,01019,715,16,16,14,12,10,8,7
10,01021,1805,42,38,36,33,31,29,27
11,01023,386,3,3,2,2,1,1,1
12,01025,1267,23,22,21,19,18,16,15
13,01027,707,31,25,21,17,14,11,8
14,01029,524,32,29,26,24,20,18,15
15,01031,1640,81,75,71,67,63,59,54
16,01033,1906,49,44,38,33,28,23,20
17,01035,554,1,1,0,0,0,0,0
18,01037,196,3,3,3,3,2,2,2
19,01039,1647,40,38,36,32,29,27,24
20,01041,590,13,8,7,5,4,3,3
21,01043,2258,133,93,68,46,31,20,13
22,01045,1625,48,40,38,34,31,28,26
23,01047,1852,3,2,2,1,1,1,0
24,01049,3167,245,243,239,232,227,219,213
25,01051,3095,75,74,68,62,57,52,47
26,01053,1709,4,3,2,1,1,0,0
27,01055,4020,180,153,140,130,120,110,100
28,01057,547,14,11,11,11,10,10,10
29,01059,1991,63,58,51,44,38,32,27
30,01061,833,20,12,7,5,3,2,1
31,01063,333,4,0,0,0,0,0,0
32,01065,745,13,9,7,4,3,2,1
33,01067,631,18,9,6,4,3,2,1
34,01069,3631,108,82,68,55,45,36,29
35,01071,1991,136,136,128,121,112,101,94
36,01073,22400,773,723,670,619,566,518,470
37,01075,457,28,22,21,20,19,18,17
38,01077,2063,102,97,92,85,78,72,66
39,01079,792,43,44,45,45,46,47,47
40,01081,6439,86,83,78,72,67,61,56
41,01083,2692,164,156,148,139,132,123,113
42,01085,699,6,3,2,1,1,0,0
43,01087,529,3,1,1,0,0,0,0
44,01089,8999,374,361,347,336,322,308,293
45,01091,967,43,35,31,26,22,18,15
46,01093,1042,8,7,7,6,6,5,5
