,Region,543,549,556,563,570
0,Belgium,,22,35,57,90
1,Bulgaria,,38,38,42,48
2,Czechia,,14,19,28,43
3,Denmark,,5,8,13,19
4,Germany,,162,227,356,569
5,Estonia,,1,1,1,2
6,Ireland,,15,25,41,66
7,Greece,,108,227,493,1020
8,Spain,,240,409,668,1023
9,France,,222,443,948,1977
10,Croatia,,11,13,17,22
11,Italy,,159,287,570,1131
12,Cyprus,,9,12,13,14
13,Latvia,,7,6,6,7
14,Lithuania,,5,7,14,31
15,Luxembourg,,1,1,1,1
16,Hungary,,6,5,6,9
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,36,59,76,86
19,Austria,,11,21,46,100
20,Poland,,41,36,35,37
21,Portugal,,67,84,100,113
22,Romania,,19,21,29,46
23,Slovenia,,1,1,2,2
24,Slovakia,,4,3,2,2
25,Finland,,5,6,7,8
26,Sweden,,5,5,5,6
27,United Kingdom,,373,494,620,735
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,1,1,1,1
31,Switzerland,,8,15,30,57
