,Region,578,584,591,598,605
0,Belgium,,32,33,34,34
1,Bulgaria,,237,414,716,1221
2,Czechia,,10,10,10,10
3,Denmark,,6,6,6,6
4,Germany,,201,306,470,717
5,Estonia,,5,7,8,9
6,Ireland,,18,20,22,23
7,Greece,,169,178,184,185
8,Spain,,510,441,362,283
9,France,,496,516,508,475
10,Croatia,,22,31,44,64
11,Italy,,335,378,407,424
12,Cyprus,,15,13,10,8
13,Latvia,,5,7,9,11
14,Lithuania,,37,46,55,64
15,Luxembourg,,2,2,2,2
16,Hungary,,7,7,8,9
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,30,26,22,20
19,Austria,,14,20,28,39
20,Poland,,21,25,29,34
21,Portugal,,90,86,82,75
22,Romania,,78,119,184,283
23,Slovenia,,7,10,15,23
24,Slovakia,,5,6,7,8
25,Finland,,13,14,15,14
26,Sweden,,6,7,8,10
27,United Kingdom,,626,629,633,632
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,6,8,9,11
31,Switzerland,,26,44,74,121
