,Region,592,598,605,612,619
0,Belgium,,40,40,39,37
1,Bulgaria,,483,599,711,820
2,Czechia,,11,11,12,12
3,Denmark,,10,10,9,8
4,Germany,,272,357,463,592
5,Estonia,,8,10,11,12
6,Ireland,,21,22,21,20
7,Greece,,222,226,225,220
8,Spain,,542,423,315,226
9,France,,531,478,410,336
10,Croatia,,44,59,79,104
11,Italy,,430,444,445,432
12,Cyprus,,13,10,8,6
13,Latvia,,14,18,24,32
14,Lithuania,,73,80,86,90
15,Luxembourg,,1,2,2,2
16,Hungary,,13,20,33,53
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,32,30,28,26
19,Austria,,18,23,29,36
20,Poland,,35,45,61,85
21,Portugal,,71,66,59,50
22,Romania,,252,394,615,958
23,Slovenia,,13,19,25,34
24,Slovakia,,3,4,6,9
25,Finland,,12,11,10,9
26,Sweden,,15,16,17,17
27,United Kingdom,,779,791,787,763
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,10,14,21,29
31,Switzerland,,47,53,59,62
