,Region,585,591,598,605,612
0,Belgium,,37,38,39,39
1,Bulgaria,,381,566,816,1151
2,Czechia,,10,11,11,11
3,Denmark,,9,9,9,9
4,Germany,,227,329,477,684
5,Estonia,,5,6,7,8
6,Ireland,,21,22,22,22
7,Greece,,203,212,217,217
8,Spain,,529,432,336,251
9,France,,530,508,461,399
10,Croatia,,27,37,51,70
11,Italy,,379,408,423,425
12,Cyprus,,15,12,10,8
13,Latvia,,7,9,12,15
14,Lithuania,,51,58,63,67
15,Luxembourg,,2,2,3,3
16,Hungary,,11,16,26,43
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,31,28,25,23
19,Austria,,17,23,31,41
20,Poland,,23,26,30,35
21,Portugal,,83,78,72,65
22,Romania,,141,218,337,520
23,Slovenia,,12,18,27,40
24,Slovakia,,3,4,4,5
25,Finland,,13,13,12,10
26,Sweden,,13,15,15,16
27,United Kingdom,,703,712,713,699
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,7,10,14,19
31,Switzerland,,32,38,43,46
