,Region,550,556,563,570,577
0,Belgium,,17,20,23,25
1,Bulgaria,,27,35,47,66
2,Czechia,,18,19,19,19
3,Denmark,,3,3,3,3
4,Germany,,205,291,418,591
5,Estonia,,1,1,2,4
6,Ireland,,16,26,40,60
7,Greece,,84,101,112,120
8,Spain,,188,237,275,297
9,France,,266,655,1541,3230
10,Croatia,,11,14,17,22
11,Italy,,140,279,557,1077
12,Cyprus,,16,18,19,19
13,Latvia,,5,7,11,20
14,Lithuania,,9,17,36,76
15,Luxembourg,,1,1,1,1
16,Hungary,,7,9,13,20
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,28,28,23,18
19,Austria,,12,19,30,48
20,Poland,,27,29,34,41
21,Portugal,,87,102,112,118
22,Romania,,18,29,57,120
23,Slovenia,,2,3,3,3
24,Slovakia,,6,8,11,17
25,Finland,,4,5,6,6
26,Sweden,,6,10,17,31
27,United Kingdom,,500,534,518,470
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,2,2,2,1
31,Switzerland,,10,20,39,74
