,Region,809,815,822,829,836
0,Belgium,,62800,61000,59000,58900
1,Bulgaria,,3420,2540,2000,1600
2,Czechia,,23300,17400,13700,11500
3,Denmark,,16100,14000,12200,10800
4,Germany,,881000,705000,586000,501000
5,Estonia,,4490,3800,3360,2980
6,Ireland,,37400,36600,35100,34200
7,Greece,,88900,79000,73300,69600
8,Spain,,63900,49800,36900,27800
9,France,,936000,917000,884000,856000
10,Croatia,,5610,4620,3960,3490
11,Italy,,414000,382000,364000,343000
12,Cyprus,,18200,15900,13900,12900
13,Latvia,,4100,2590,1720,1240
14,Lithuania,,8260,6420,5260,4560
15,Luxembourg,,6290,5980,5730,5560
16,Hungary,,13800,13300,12700,12500
17,Malta,,5290,5480,5630,5860
18,Netherlands,,50500,36700,29700,24500
19,Austria,,71400,51600,41800,35200
20,Poland,,2830,875,293,110
21,Portugal,,56800,53300,50100,48000
22,Romania,,9380,6760,5190,4160
23,Slovenia,,12200,10900,10000,9260
24,Slovakia,,22400,16400,12700,10400
25,Finland,,32300,29300,27900,26800
26,Sweden,,4440,3940,3470,3110
27,United Kingdom,,456000,425000,406000,386000
28,Iceland,,1280,940,760,642
29,Liechtenstein,,265,243,205,188
30,Norway,,5370,4180,3440,2960
31,Switzerland,,8610,3210,1400,690
