,Region,795,801,808,815,822
0,Belgium,,79100,81900,84300,84900
1,Bulgaria,,8680,7710,7070,6620
2,Czechia,,49900,48400,46900,45300
3,Denmark,,35700,29600,26700,23900
4,Germany,,655000,497000,403000,333000
5,Estonia,,7970,7020,6350,5840
6,Ireland,,31000,31700,31100,30400
7,Greece,,142000,139000,134000,132000
8,Spain,,125000,131000,142000,145000
9,France,,1080000,1330000,1520000,1680000
10,Croatia,,9940,9610,9240,8780
11,Italy,,535000,537000,537000,531000
12,Cyprus,,34400,38000,39800,41800
13,Latvia,,16300,13200,11200,9820
14,Lithuania,,20500,17600,15800,14400
15,Luxembourg,,9330,9860,10500,10500
16,Hungary,,16400,20600,25200,29200
17,Malta,,3070,3490,4100,4280
18,Netherlands,,216000,194000,178000,163000
19,Austria,,249000,229000,215000,204000
20,Poland,,43200,33200,27200,23000
21,Portugal,,77300,75400,74700,73400
22,Romania,,26300,28700,30600,32000
23,Slovenia,,21700,22900,23700,23800
24,Slovakia,,57600,52300,48500,44600
25,Finland,,58600,60700,63400,65300
26,Sweden,,6120,5450,4690,4070
27,United Kingdom,,606000,610000,617000,589000
28,Iceland,,7030,6140,5460,5050
29,Liechtenstein,,1010,940,895,808
30,Norway,,13900,11200,9470,8550
31,Switzerland,,141000,129000,121000,114000
