,State,249,255,262,269,276,283
0,Washington,2100,45,44,41,37,33
1,Illinois,8845,157,158,159,160,161
2,California,15606,511,452,400,354,313
3,Arizona,5623,123,124,126,127,129
4,Massachusetts,9404,90,89,87,86,85
5,Wisconsin,1281,59,74,87,96,103
6,Texas,15745,598,600,645,719,811
7,Nebraska,470,25,26,28,30,31
8,Utah,453,13,17,20,24,27
9,Oregon,543,18,17,16,15,14
10,Florida,14032,492,395,316,253,203
11,New York,33131,48,49,49,49,49
12,Rhode Island,1107,20,21,22,23,24
13,Georgia,6946,248,222,199,178,159
14,New Hampshire,439,3,3,4,5,7
15,North Carolina,3441,174,165,156,148,140
16,New Jersey,16106,42,43,45,46,48
17,Colorado,2041,30,35,37,37,36
18,Maryland,3935,43,43,44,44,44
19,Nevada,1585,48,41,34,29,24
20,Tennessee,2377,173,168,156,140,124
21,Hawaii,132,12,11,10,9,8
22,Indiana,3580,72,70,69,67,66
23,Kentucky,1157,57,58,59,60,61
24,Minnesota,2060,52,53,53,53,53
25,Oklahoma,1006,61,65,71,76,82
26,Pennsylvania,8086,113,111,110,108,106
27,South Carolina,3326,163,172,182,192,201
28,District of Columbia,624,4,4,4,3,3
29,Kansas,635,57,59,60,62,64
30,Missouri,2053,131,132,133,134,134
31,Vermont,58,0,0,0,0,0
32,Virginia,3157,157,155,152,149,146
33,Connecticut,4501,10,10,9,9,8
34,Iowa,1316,61,66,72,78,84
35,Louisiana,5465,99,91,83,76,69
36,Ohio,4741,159,154,149,145,140
37,Michigan,7044,86,88,90,91,93
38,South Dakota,218,18,19,19,19,17
39,Arkansas,1308,136,136,136,136,136
40,Delaware,633,7,7,6,6,5
41,Mississippi,2919,88,77,67,58,51
42,New Mexico,870,23,27,29,27,24
43,North Dakota,231,33,39,46,53,62
44,Wyoming,50,5,6,7,7,7
45,Alaska,56,3,3,3,3,2
46,Maine,140,2,2,2,2,3
47,Alabama,2501,64,57,51,46,41
48,Idaho,460,26,28,28,27,25
49,Montana,173,24,27,30,31,31
50,Puerto Rico,644,64,73,76,74,68
51,Virgin Islands,19,NaN,NaN,NaN,NaN,NaN
52,Guam,39,NaN,NaN,NaN,NaN,NaN
53,West Virginia,339,33,35,37,38,40
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
