,State,235,241,248,255,262,269
0,Washington,1991,37,32,28,25,22
1,Illinois,8541,156,157,158,160,161
2,California,14378,607,540,481,428,380
3,Arizona,5322,89,62,43,30,21
4,Massachusetts,9210,92,91,89,88,87
5,Wisconsin,1210,41,40,39,38,37
6,Texas,14405,750,672,601,538,480
7,Nebraska,434,24,26,27,29,31
8,Utah,433,17,18,20,22,25
9,Oregon,509,26,25,23,22,21
10,Florida,12608,535,427,340,271,215
11,New York,33023,61,61,61,61,61
12,Rhode Island,1071,17,18,19,20,22
13,Georgia,6333,336,304,274,247,222
14,New Hampshire,436,1,1,0,0,0
15,North Carolina,3052,162,153,144,136,128
16,New Jersey,16031,53,55,57,59,61
17,Colorado,1988,18,16,14,12,10
18,Maryland,3838,41,37,33,30,27
19,Nevada,1452,66,58,50,43,37
20,Tennessee,2078,134,120,107,95,84
21,Hawaii,99,19,19,18,18,18
22,Indiana,3438,78,80,82,84,86
23,Kentucky,1060,66,68,69,70,72
24,Minnesota,1971,53,54,56,57,59
25,Oklahoma,905,56,55,53,51,50
26,Pennsylvania,7829,95,93,91,88,86
27,South Carolina,3064,146,127,110,96,83
28,District of Columbia,616,4,3,3,3,3
29,Kansas,528,36,37,39,40,42
30,Missouri,1731,96,94,93,91,90
31,Vermont,58,0,0,0,0,0
32,Virginia,2724,86,85,83,82,80
33,Connecticut,4480,6,6,6,5,5
34,Iowa,1220,90,106,124,145,169
35,Louisiana,5235,99,76,59,46,35
36,Ohio,4415,147,142,138,133,129
37,Michigan,6911,92,94,96,98,100
38,South Dakota,184,9,11,13,15,16
39,Arkansas,981,84,78,72,66,61
40,Delaware,615,4,4,3,3,3
41,Mississippi,2697,121,106,93,81,70
42,New Mexico,823,19,16,13,11,9
43,North Dakota,168,14,17,21,25,29
44,Wyoming,42,2,2,2,2,2
45,Alaska,44,3,3,3,2,2
46,Maine,136,1,1,1,1,1
47,Alabama,2351,92,82,72,64,57
48,Idaho,415,32,29,26,24,21
49,Montana,135,15,15,16,16,16
50,Puerto Rico,539,37,31,26,22,18
51,Virgin Islands,19,NaN,NaN,NaN,NaN,NaN
52,Guam,23,NaN,NaN,NaN,NaN,NaN
53,West Virginia,267,33,34,35,36,37
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
