,State,382,388,395
0,Washington,320146,7466,6895
1,Illinois,1146346,21082,20588
2,California,3417982,82441,75050
3,Arizona,780637,17361,14497
4,Massachusetts,543934,12890,10542
5,Wisconsin,600782,7329,6407
6,Texas,2494861,101259,88724
7,Nebraska,193722,2852,2857
8,Utah,354608,4587,3597
9,Oregon,147122,4459,4098
10,Florida,1777983,47074,40303
11,New York,1480224,45051,37177
12,Rhode Island,117891,2919,2513
13,Georgia,940991,28596,25975
14,New Hampshire,68379,1981,1654
15,North Carolina,796195,32672,28712
16,New Jersey,722167,19279,16458
17,Colorado,405330,8243,7530
18,Maryland,363650,8592,7809
19,Nevada,284042,5032,4793
20,Tennessee,744600,15014,14003
21,Hawaii,26684,540,479
22,Indiana,639711,11911,11072
23,Kentucky,377790,12471,10802
24,Minnesota,468118,5494,4986
25,Oklahoma,403954,12422,10953
26,Pennsylvania,873146,20977,17969
27,South Carolina,466373,19036,16777
28,District of Columbia,38035,918,804
29,Kansas,283926,6081,5452
30,Missouri,481929,8273,8611
31,Vermont,12900,695,604
32,Virginia,529125,18921,16707
33,Connecticut,259372,6908,5717
34,Iowa,324590,5592,5400
35,Louisiana,411812,11591,10590
36,Ohio,920217,21019,18598
37,Michigan,620685,11815,11848
38,South Dakota,109229,1203,1203
39,Arkansas,306736,9469,8286
40,Delaware,80594,2003,1708
41,Mississippi,281678,7647,7462
42,New Mexico,177556,3972,4193
43,North Dakota,98155,627,653
44,Wyoming,52627,1321,1172
45,Alaska,55259,947,890
46,Maine,41219,1511,1339
47,Alabama,472423,13044,12024
48,Idaho,165209,2599,2579
49,Montana,95790,2288,2202
50,Puerto Rico,95839,NaN,NaN
51,Virgin Islands,2466,NaN,NaN
52,Guam,7636,NaN,NaN
53,West Virginia,124708,3147,2777
54,Northern Mariana Islands,133,NaN,NaN
55,American Samoa,0,NaN,NaN
