,State,298,304,311
0,Washington,130040,16104,20638
1,Illinois,573616,89169,97774
2,California,1032095,70526,86184
3,Arizona,275436,17319,18608
4,Massachusetts,188275,19966,24502
5,Wisconsin,329924,47003,50111
6,Texas,1073590,88456,105928
7,Nebraska,98161,17380,21088
8,Utah,153808,19019,21280
9,Oregon,56880,9462,12705
10,Florida,885201,46711,55024
11,New York,560200,39697,49138
12,Rhode Island,41529,4535,5813
13,Georgia,424989,27119,34230
14,New Hampshire,14682,2561,3196
15,North Carolina,312235,22765,27498
16,New Jersey,279274,27668,34159
17,Colorado,163417,35206,42700
18,Maryland,165930,13567,16967
19,Nevada,120183,12146,13639
20,Tennessee,310937,31876,37764
21,Hawaii,16759,755,825
22,Indiana,251597,48901,58585
23,Kentucky,137586,22710,28626
24,Minnesota,223581,41196,43975
25,Oklahoma,154128,22420,26812
26,Pennsylvania,268696,39671,47950
27,South Carolina,195507,12670,15770
28,District of Columbia,18977,1018,1259
29,Kansas,117564,22121,27356
30,Missouri,244541,40600,47735
31,Vermont,2889,808,1128
32,Virginia,201960,15307,19929
33,Connecticut,88645,12526,14632
34,Iowa,186314,36987,41418
35,Louisiana,204513,11464,13787
36,Ohio,298096,55216,66212
37,Michigan,275792,53669,60650
38,South Dakota,65381,11614,13171
39,Arkansas,133040,13171,14814
40,Delaware,28803,2669,3375
41,Mississippi,134309,8588,9513
42,New Mexico,64201,10763,11862
43,North Dakota,63796,10064,10711
44,Wyoming,22494,5697,6218
45,Alaska,23814,4254,4733
46,Maine,8944,1723,2142
47,Alabama,217822,14994,17319
48,Idaho,82245,11468,13444
49,Montana,47158,9527,11647
50,Puerto Rico,42479,NaN,NaN
51,Virgin Islands,1434,NaN,NaN
52,Guam,5924,NaN,NaN
53,West Virginia,33659,7027,8693
54,Northern Mariana Islands,102,NaN,NaN
55,American Samoa,0,NaN,NaN
