,State,417,423,430
0,Washington,349425,4458,4337
1,Illinois,1209245,13198,12647
2,California,3623063,27214,26583
3,Arizona,832743,6141,5574
4,Massachusetts,602308,8492,8033
5,Wisconsin,625359,4271,4093
6,Texas,2727462,32720,31747
7,Nebraska,204638,2298,2323
8,Utah,378379,2552,2508
9,Oregon,159617,2364,2408
10,Florida,1976808,29863,27871
11,New York,1741363,41807,38091
12,Rhode Island,130502,1987,1878
13,Georgia,1033786,10852,11100
14,New Hampshire,78615,1420,1303
15,North Carolina,882715,9262,8448
16,New Jersey,837861,21488,19943
17,Colorado,443968,6238,5873
18,Maryland,393441,6038,5983
19,Nevada,299287,3062,2937
20,Tennessee,789652,7583,7340
21,Hawaii,28554,376,324
22,Indiana,672554,8004,7707
23,Kentucky,416215,6240,6285
24,Minnesota,497392,6459,5956
25,Oklahoma,432483,4011,3966
26,Pennsylvania,968259,15440,13836
27,South Carolina,533421,7203,6746
28,District of Columbia,42511,1101,1036
29,Kansas,299995,2928,2965
30,Missouri,571005,48206,37602
31,Vermont,16890,611,521
32,Virginia,594735,9064,8654
33,Connecticut,290577,4738,4337
34,Iowa,342886,4550,4490
35,Louisiana,437393,4246,4267
36,Ohio,989191,12352,12480
37,Michigan,670088,13076,12729
38,South Dakota,114623,1387,1399
39,Arkansas,326943,2697,2536
40,Delaware,90381,1817,1551
41,Mississippi,300780,3040,2967
42,New Mexico,188311,1648,1720
43,North Dakota,100976,1416,1175
44,Wyoming,55163,680,712
45,Alaska,60207,766,724
46,Maine,47032,1069,1026
47,Alabama,503673,4212,3990
48,Idaho,175236,2146,1966
49,Montana,101760,2332,2252
50,Puerto Rico,102995,NaN,NaN
51,Virgin Islands,2767,NaN,NaN
52,Guam,7768,NaN,NaN
53,West Virginia,135468,2520,2397
54,Northern Mariana Islands,154,NaN,NaN
55,American Samoa,0,NaN,NaN
