,State,424,430,437
0,Washington,354782,5229,5609
1,Illinois,1221775,12305,13333
2,California,3641105,22672,23779
3,Arizona,836253,3982,4051
4,Massachusetts,614668,10294,10146
5,Wisconsin,629407,4088,4157
6,Texas,2754616,28795,29721
7,Nebraska,206388,1847,1911
8,Utah,381629,2425,2475
9,Oregon,161531,2152,2215
10,Florida,2008349,29699,27551
11,New York,1782769,34625,32185
12,Rhode Island,133039,2250,2197
13,Georgia,1045694,12168,12801
14,New Hampshire,80543,1903,2020
15,North Carolina,895263,12263,12368
16,New Jersey,865886,23923,23588
17,Colorado,450630,7148,7200
18,Maryland,400023,6839,7228
19,Nevada,301178,2372,2504
20,Tennessee,798621,8543,8504
21,Hawaii,29120,420,388
22,Indiana,677905,5917,6249
23,Kentucky,420828,4962,4999
24,Minnesota,505224,7150,6713
25,Oklahoma,434491,1585,1901
26,Pennsylvania,988656,17751,17069
27,South Carolina,541582,7974,8053
28,District of Columbia,43229,821,864
29,Kansas,301519,1885,1993
30,Missouri,575253,4827,5174
31,Vermont,17740,622,564
32,Virginia,604904,10065,10157
33,Connecticut,296691,5931,6048
34,Iowa,345785,3157,3405
35,Louisiana,439737,3886,4078
36,Ohio,999750,11252,11582
37,Michigan,691070,18577,18355
38,South Dakota,115867,1058,1032
39,Arkansas,328655,1836,1849
40,Delaware,92287,1792,1788
41,Mississippi,302837,2441,2553
42,New Mexico,189731,1726,1873
43,North Dakota,101651,608,588
44,Wyoming,55581,449,471
45,Alaska,61086,714,669
46,Maine,48464,1285,1235
47,Alabama,511460,6913,6607
48,Idaho,177420,1961,1790
49,Montana,103060,1309,1338
50,Puerto Rico,104516,NaN,NaN
51,Virgin Islands,2767,NaN,NaN
52,Guam,7780,NaN,NaN
53,West Virginia,137826,2155,2107
54,Northern Mariana Islands,157,NaN,NaN
55,American Samoa,0,NaN,NaN
