,State,245,255,262,269,276,283
0,Washington,2081,50,48,49,52,57
1,Illinois,8744,126,118,113,111,111
2,California,15291,508,470,452,446,452
3,Arizona,5525,90,76,69,65,64
4,Massachusetts,9347,66,57,53,51,50
5,Wisconsin,1259,46,53,58,66,77
6,Texas,15372,538,486,449,423,408
7,Nebraska,462,18,17,17,18,18
8,Utah,444,15,16,15,15,15
9,Oregon,538,22,24,25,27,30
10,Florida,13618,511,454,407,368,338
11,New York,33090,74,78,77,77,79
12,Rhode Island,1102,14,13,12,11,10
13,Georgia,6769,228,203,187,176,170
14,New Hampshire,438,3,3,3,4,4
15,North Carolina,3316,152,145,141,139,140
16,New Jersey,16082,37,38,37,38,39
17,Colorado,2030,29,29,30,31,33
18,Maryland,3902,41,38,37,36,36
19,Nevada,1556,51,45,42,41,41
20,Tennessee,2277,127,120,114,109,105
21,Hawaii,122,15,15,15,15,16
22,Indiana,3530,64,63,62,62,63
23,Kentucky,1124,51,52,53,54,56
24,Minnesota,2037,49,47,47,47,48
25,Oklahoma,970,47,45,44,43,44
26,Pennsylvania,8038,95,86,85,86,89
27,South Carolina,3262,127,119,114,111,111
28,District of Columbia,621,3,3,3,2,2
29,Kansas,620,40,37,37,38,39
30,Missouri,1938,88,83,83,85,88
31,Vermont,58,0,0,0,0,0
32,Virginia,3087,134,118,115,114,115
33,Connecticut,4497,14,15,16,18,20
34,Iowa,1298,55,52,50,48,47
35,Louisiana,5407,112,101,89,80,74
36,Ohio,4687,133,137,137,140,145
37,Michigan,7013,63,62,62,62,64
38,South Dakota,202,13,14,14,14,13
39,Arkansas,1229,65,61,56,53,50
40,Delaware,629,6,5,5,5,5
41,Mississippi,2870,95,83,74,66,59
42,New Mexico,857,21,21,22,23,25
43,North Dakota,203,17,16,16,15,15
44,Wyoming,50,2,2,2,2,3
45,Alaska,45,2,2,2,3,3
46,Maine,140,2,2,2,3,3
47,Alabama,2488,75,69,63,58,55
48,Idaho,454,24,23,21,20,19
49,Montana,165,17,16,17,18,20
50,Puerto Rico,617,51,50,51,51,53
51,Virgin Islands,19,1,1,1,1,1
52,Guam,37,8,7,7,6,6
53,West Virginia,322,31,30,31,32,33
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
