,State,247,255,262,269,276,283
0,Washington,2100,49,49,50,53,58
1,Illinois,8807,139,131,127,126,127
2,California,15516,527,483,465,463,473
3,Arizona,5587,100,80,72,69,68
4,Massachusetts,9373,71,61,56,54,53
5,Wisconsin,1274,47,53,59,68,79
6,Texas,15610,586,523,487,468,460
7,Nebraska,468,18,17,17,17,18
8,Utah,448,15,18,19,20,22
9,Oregon,542,22,24,25,28,31
10,Florida,13915,707,654,614,584,563
11,New York,33122,68,75,76,77,79
12,Rhode Island,1107,15,13,12,11,11
13,Georgia,6874,295,266,246,230,218
14,New Hampshire,438,3,3,3,4,4
15,North Carolina,3409,162,152,149,148,150
16,New Jersey,16097,38,38,38,38,40
17,Colorado,2034,29,29,30,31,33
18,Maryland,3917,42,39,37,37,37
19,Nevada,1573,51,46,43,42,42
20,Tennessee,2352,132,123,116,111,108
21,Hawaii,127,14,14,13,14,15
22,Indiana,3566,66,64,63,64,65
23,Kentucky,1149,51,53,54,55,58
24,Minnesota,2046,47,47,47,48,49
25,Oklahoma,993,49,47,46,45,46
26,Pennsylvania,8065,140,144,156,175,200
27,South Carolina,3297,124,118,114,112,112
28,District of Columbia,623,3,3,3,2,2
29,Kansas,635,37,36,37,37,39
30,Missouri,1991,111,99,97,100,105
31,Vermont,58,0,0,0,0,0
32,Virginia,3134,143,124,119,119,121
33,Connecticut,4501,14,15,16,18,20
34,Iowa,1312,53,52,50,49,48
35,Louisiana,5444,111,101,90,82,75
36,Ohio,4734,146,143,145,148,155
37,Michigan,7027,65,63,63,64,66
38,South Dakota,216,16,16,16,16,15
39,Arkansas,1266,70,64,59,56,54
40,Delaware,631,6,5,5,5,5
41,Mississippi,2894,95,84,75,67,61
42,New Mexico,865,25,26,26,26,27
43,North Dakota,219,25,24,23,22,21
44,Wyoming,50,2,2,2,2,3
45,Alaska,52,2,2,2,3,3
46,Maine,140,2,2,2,3,3
47,Alabama,2491,83,73,67,62,59
48,Idaho,458,24,22,21,19,19
49,Montana,170,16,16,17,18,20
50,Puerto Rico,635,48,48,49,50,51
51,Virgin Islands,19,1,1,1,1,1
52,Guam,39,7,7,6,5,5
53,West Virginia,335,30,30,31,32,34
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
