,Region,459,465,472,479,486,493,500
0,Belgium,,263,250,245,249,265,286
1,Bulgaria,,558,424,321,257,231,227
2,Czechia,,367,260,189,139,116,116
3,Denmark,,14,15,15,15,15,15
4,Germany,,1561,1578,1652,1697,1716,1728
5,Estonia,,40,30,23,19,17,18
6,Ireland,,40,40,41,43,44,46
7,Greece,,526,512,493,475,462,449
8,Spain,,627,571,523,500,482,467
9,France,,1274,977,772,669,613,572
10,Croatia,,286,268,259,257,263,271
11,Italy,,1990,1686,1442,1268,1169,1144
12,Cyprus,,10,11,11,11,11,11
13,Latvia,,56,58,59,61,64,68
14,Lithuania,,83,84,82,77,75,70
15,Luxembourg,,12,12,12,12,12,12
16,Hungary,,1225,862,605,420,330,338
17,Malta,,7,6,6,6,6,6
18,Netherlands,,140,135,131,129,129,129
19,Austria,,181,164,148,138,135,138
20,Poland,,2710,1996,1329,909,730,826
21,Portugal,,33,32,31,31,32,32
22,Romania,,1032,875,705,568,487,477
23,Slovenia,,45,47,47,47,47,47
24,Slovakia,,341,282,226,195,189,201
25,Finland,,20,20,20,20,20,20
26,Sweden,,153,154,151,146,141,136
27,United Kingdom,,147,127,121,119,119,120
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,19,19,19,19,20,20
31,Switzerland,,73,76,74,72,70,68
