,Region,487,493,500,507,514,521,528
0,Belgium,,105,76,58,48,42,37
1,Bulgaria,,168,112,80,57,47,49
2,Czechia,,84,50,29,18,13,13
3,Denmark,,8,8,8,8,8,8
4,Germany,,946,735,563,463,430,431
5,Estonia,,21,24,24,24,24,24
6,Ireland,,17,17,18,17,17,18
7,Greece,,292,248,212,183,164,151
8,Spain,,286,229,181,148,128,116
9,France,,241,140,68,30,14,18
10,Croatia,,131,82,48,28,19,18
11,Italy,,774,540,358,237,168,145
12,Cyprus,,13,13,14,14,14,14
13,Latvia,,42,36,31,27,25,25
14,Lithuania,,61,45,35,28,27,29
15,Luxembourg,,5,5,5,5,5,5
16,Hungary,,241,150,97,65,49,46
17,Malta,,0,1,1,1,1,1
18,Netherlands,,91,67,51,42,40,43
19,Austria,,44,26,15,9,7,7
20,Poland,,859,600,418,298,254,281
21,Portugal,,12,13,12,12,12,13
22,Romania,,307,195,136,94,74,69
23,Slovenia,,35,36,35,36,36,36
24,Slovakia,,54,34,21,14,14,9
25,Finland,,8,8,8,8,8,8
26,Sweden,,89,81,70,61,54,48
27,United Kingdom,,51,47,45,43,42,42
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,10,10,10,10,10,10
31,Switzerland,,27,22,19,17,16,16
