,Region,564,570,577,584,591,598,605
0,Belgium,,17,17,17,17,17,17
1,Bulgaria,,28,28,28,28,28,28
2,Czechia,,11,11,12,11,11,11
3,Denmark,,3,3,3,3,3,3
4,Germany,,150,147,138,121,101,85
5,Estonia,,1,1,1,1,1,1
6,Ireland,,9,9,9,9,9,9
7,Greece,,103,105,106,109,112,118
8,Spain,,511,662,789,925,1066,1184
9,France,,351,323,304,288,273,258
10,Croatia,,10,11,11,11,11,11
11,Italy,,144,133,123,113,106,101
12,Cyprus,,16,15,15,15,15,15
13,Latvia,,5,5,5,5,5,5
14,Lithuania,,9,7,7,7,7,7
15,Luxembourg,,1,1,1,1,1,1
16,Hungary,,7,7,7,7,7,7
17,Malta,,3,1,1,1,1,1
18,Netherlands,,28,28,28,28,28,28
19,Austria,,6,6,6,6,6,7
20,Poland,,30,31,31,30,31,31
21,Portugal,,84,75,65,57,53,51
22,Romania,,25,24,24,24,24,24
23,Slovenia,,3,2,2,2,2,2
24,Slovakia,,5,5,5,5,5,5
25,Finland,,8,4,4,4,4,4
26,Sweden,,4,4,4,4,4,4
27,United Kingdom,,681,704,743,819,913,1016
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,1,1,1,1,1,1
31,Switzerland,,6,6,6,6,6,6
