,Region,550,556,563,570,577,584,591
0,Belgium,,14,15,15,15,15,15
1,Bulgaria,,32,32,32,32,32,33
2,Czechia,,9,10,10,9,10,9
3,Denmark,,2,2,2,2,2,2
4,Germany,,159,192,224,244,246,240
5,Estonia,,0,0,0,0,0,0
6,Ireland,,9,9,9,9,9,9
7,Greece,,32,21,21,21,21,21
8,Spain,,175,231,246,211,160,125
9,France,,227,360,488,525,484,403
10,Croatia,,10,11,11,11,11,11
11,Italy,,105,137,165,167,149,125
12,Cyprus,,6,6,6,6,6,6
13,Latvia,,11,11,11,11,11,11
14,Lithuania,,7,7,7,7,7,7
15,Luxembourg,,0,0,0,0,0,0
16,Hungary,,9,9,10,9,9,9
17,Malta,,0,0,0,0,0,0
18,Netherlands,,18,15,15,15,15,15
19,Austria,,7,8,8,7,7,7
20,Poland,,30,30,31,34,36,38
21,Portugal,,70,72,70,70,68,65
22,Romania,,8,5,3,2,2,1
23,Slovenia,,3,2,2,2,2,2
24,Slovakia,,7,7,7,7,7,7
25,Finland,,3,3,3,3,3,3
26,Sweden,,8,8,8,8,8,8
27,United Kingdom,,495,537,582,642,714,801
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,2,2,2,2,2,2
31,Switzerland,,5,5,5,5,5,5
