,Region,606,612,619,626,633,640,647
0,Belgium,,44,44,44,44,44,44
1,Bulgaria,,494,498,502,510,523,534
2,Czechia,,11,11,11,11,11,11
3,Denmark,,17,15,15,15,15,15
4,Germany,,281,254,243,246,257,268
5,Estonia,,10,11,11,11,11,11
6,Ireland,,19,19,19,19,19,19
7,Greece,,279,301,330,369,416,467
8,Spain,,307,229,169,130,110,103
9,France,,418,293,205,161,147,157
10,Croatia,,78,94,108,114,110,102
11,Italy,,361,322,278,244,225,221
12,Cyprus,,11,12,12,12,12,12
13,Latvia,,17,17,17,17,17,17
14,Lithuania,,106,122,145,161,168,170
15,Luxembourg,,1,1,1,1,1,1
16,Hungary,,19,19,19,19,19,19
17,Malta,,3,4,4,4,4,4
18,Netherlands,,35,25,22,21,21,20
19,Austria,,38,35,35,35,35,35
20,Poland,,43,43,43,42,42,42
21,Portugal,,34,23,16,12,9,9
22,Romania,,752,1214,1893,2424,2376,1894
23,Slovenia,,17,14,14,14,14,14
24,Slovakia,,5,5,5,5,5,5
25,Finland,,11,11,11,11,11,11
26,Sweden,,16,16,16,15,16,16
27,United Kingdom,,914,807,736,721,745,775
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,7,7,7,7,7,7
31,Switzerland,,38,40,40,40,40,40
