,Region,613,619,626,633,640
0,Belgium,,48,48,49,48
1,Bulgaria,,466,470,472,472
2,Czechia,,12,12,12,12
3,Denmark,,16,15,15,15
4,Germany,,378,366,339,330
5,Estonia,,13,13,13,13
6,Ireland,,22,22,22,22
7,Greece,,202,194,185,183
8,Spain,,284,222,172,142
9,France,,369,262,194,159
10,Croatia,,85,79,76,75
11,Italy,,349,286,243,214
12,Cyprus,,11,10,10,10
13,Latvia,,28,27,27,27
14,Lithuania,,127,142,162,175
15,Luxembourg,,1,1,1,1
16,Hungary,,23,23,24,24
17,Malta,,3,4,4,4
18,Netherlands,,42,37,30,26
19,Austria,,70,71,74,77
20,Poland,,98,111,119,118
21,Portugal,,26,20,14,12
22,Romania,,1316,2143,3282,3946
23,Slovenia,,25,22,22,22
24,Slovakia,,11,11,12,11
25,Finland,,10,12,11,11
26,Sweden,,29,28,29,29
27,United Kingdom,,996,1017,1054,1087
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,9,9,9,9
31,Switzerland,,39,41,41,41
