,Region,578,584,591,598,605,612,619
0,Belgium,,25,25,24,25,25,25
1,Bulgaria,,183,252,289,254,213,186
2,Czechia,,10,10,10,10,10,10
3,Denmark,,7,6,6,6,6,6
4,Germany,,114,127,134,131,114,97
5,Estonia,,2,2,2,2,2,2
6,Ireland,,9,9,9,9,9,9
7,Greece,,205,244,304,373,447,526
8,Spain,,554,521,473,434,422,438
9,France,,543,542,507,483,475,485
10,Croatia,,14,14,14,14,14,14
11,Italy,,345,388,421,449,474,504
12,Cyprus,,23,20,20,20,20,20
13,Latvia,,5,5,4,4,4,4
14,Lithuania,,21,19,19,19,19,19
15,Luxembourg,,2,2,2,2,2,2
16,Hungary,,6,6,6,6,6,6
17,Malta,,3,3,3,3,3,3
18,Netherlands,,49,47,47,47,47,47
19,Austria,,7,7,7,7,7,7
20,Poland,,18,18,18,18,18,18
21,Portugal,,81,79,79,81,86,92
22,Romania,,38,35,35,35,35,35
23,Slovenia,,3,3,3,3,3,3
24,Slovakia,,3,3,3,3,3,3
25,Finland,,7,8,8,8,8,8
26,Sweden,,4,4,4,4,4,4
27,United Kingdom,,752,902,1074,1266,1466,1678
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,3,3,3,3,3,2
31,Switzerland,,13,13,13,13,13,13
