,Region,557,563,570,577,584,591,598
0,Belgium,,14,14,14,14,13,14
1,Bulgaria,,23,23,23,23,23,23
2,Czechia,,11,11,11,11,11,11
3,Denmark,,3,3,3,3,3,3
4,Germany,,105,88,72,63,56,51
5,Estonia,,1,1,1,1,1,1
6,Ireland,,9,9,9,9,9,8
7,Greece,,60,54,50,48,43,42
8,Spain,,239,254,248,244,238,235
9,France,,190,164,152,139,128,119
10,Croatia,,13,11,11,11,11,11
11,Italy,,84,69,60,50,44,40
12,Cyprus,,12,10,10,10,10,10
13,Latvia,,7,7,7,7,7,7
14,Lithuania,,7,6,6,6,6,6
15,Luxembourg,,1,1,1,1,1,1
16,Hungary,,8,8,8,8,8,8
17,Malta,,0,0,0,0,0,0
18,Netherlands,,20,19,19,19,19,19
19,Austria,,7,7,7,7,7,7
20,Poland,,42,44,43,44,43,44
21,Portugal,,52,54,49,48,47,46
22,Romania,,11,7,10,12,9,7
23,Slovenia,,2,2,2,2,2,2
24,Slovakia,,6,6,6,6,6,6
25,Finland,,4,3,3,3,3,3
26,Sweden,,6,6,6,6,6,6
27,United Kingdom,,569,530,518,540,601,686
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,1,1,1,1,1,1
31,Switzerland,,4,4,4,4,4,4
