,Region,417,423,430,437,444,451,458
0,Belgium,,181,185,185,175,157,137
1,Bulgaria,,936,1309,1720,1997,2019,2001
2,Czechia,,1308,1131,976,918,888,856
3,Denmark,,8,7,7,7,7,7
4,Germany,,1437,1321,1252,1175,1067,950
5,Estonia,,78,94,102,101,97,91
6,Ireland,,93,82,73,68,69,74
7,Greece,,351,375,384,374,357,339
8,Spain,,771,607,496,433,403,388
9,France,,2052,1908,1843,1769,1680,1582
10,Croatia,,69,68,67,62,54,46
11,Italy,,2288,2055,1851,1650,1431,1225
12,Cyprus,,6,5,5,5,5,5
13,Latvia,,69,57,50,45,43,42
14,Lithuania,,62,56,50,45,42,41
15,Luxembourg,,21,21,21,20,19,19
16,Hungary,,1200,1217,1188,1028,837,685
17,Malta,,16,18,18,18,18,16
18,Netherlands,,209,184,165,144,123,105
19,Austria,,149,141,131,118,103,88
20,Poland,,1872,1849,1729,1464,1132,850
21,Portugal,,88,57,42,35,35,37
22,Romania,,630,687,701,674,614,546
23,Slovenia,,41,35,35,33,30,29
24,Slovakia,,631,572,527,502,484,467
25,Finland,,19,21,21,20,19,17
26,Sweden,,195,177,166,156,146,136
27,United Kingdom,,699,487,345,270,235,224
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,1,1,1,1,1
30,Norway,,9,11,11,10,11,10
31,Switzerland,,83,84,87,90,95,100
