,Region,403,409,416,423,430,437,444
0,Belgium,,176,155,140,126,113,103
1,Bulgaria,,330,343,356,340,302,263
2,Czechia,,1312,1410,1593,1654,1625,1585
3,Denmark,,21,21,18,14,14,14
4,Germany,,1855,1709,1636,1587,1541,1479
5,Estonia,,60,72,81,84,83,80
6,Ireland,,126,110,100,93,92,95
7,Greece,,216,230,247,248,232,206
8,Spain,,1376,994,768,698,733,840
9,France,,1684,1596,1408,1252,1127,1021
10,Croatia,,103,109,118,127,134,141
11,Italy,,1994,2132,2282,2369,2355,2288
12,Cyprus,,6,7,7,7,7,7
13,Latvia,,47,35,27,22,19,17
14,Lithuania,,77,78,83,87,89,88
15,Luxembourg,,16,16,16,17,17,17
16,Hungary,,884,1181,1446,1517,1342,1083
17,Malta,,14,14,14,15,17,17
18,Netherlands,,427,476,531,589,646,711
19,Austria,,177,170,169,164,152,139
20,Poland,,1671,1882,2032,2006,1814,1532
21,Portugal,,168,63,30,19,14,15
22,Romania,,547,620,722,813,878,917
23,Slovenia,,39,35,29,28,26,24
24,Slovakia,,725,701,737,775,808,840
25,Finland,,23,27,31,33,35,35
26,Sweden,,183,176,166,155,142,130
27,United Kingdom,,1769,1301,993,800,735,769
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,11,13,14,14,14,13
31,Switzerland,,50,40,31,26,22,20
