,Region,529,535,542,549,556,563,570
0,Belgium,,34,38,37,37,37,37
1,Bulgaria,,26,22,18,17,16,18
2,Czechia,,34,35,35,35,36,36
3,Denmark,,4,5,5,5,5,4
4,Germany,,181,135,107,105,112,125
5,Estonia,,1,1,1,1,1,1
6,Ireland,,4,4,5,4,4,5
7,Greece,,62,72,84,96,102,104
8,Spain,,131,127,123,121,119,116
9,France,,129,103,99,104,110,113
10,Croatia,,32,32,31,32,32,32
11,Italy,,130,105,92,91,95,100
12,Cyprus,,7,3,3,3,3,3
13,Latvia,,28,28,28,28,28,29
14,Lithuania,,19,20,20,21,20,21
15,Luxembourg,,0,0,0,0,0,0
16,Hungary,,34,34,34,34,34,34
17,Malta,,0,0,0,0,0,0
18,Netherlands,,19,20,20,20,20,20
19,Austria,,15,17,17,17,17,17
20,Poland,,59,40,27,22,20,22
21,Portugal,,18,19,19,19,19,19
22,Romania,,41,33,28,26,25,27
23,Slovenia,,7,7,7,7,7,7
24,Slovakia,,26,26,26,26,26,26
25,Finland,,3,3,3,3,3,3
26,Sweden,,13,14,13,14,14,13
27,United Kingdom,,187,247,313,354,346,309
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,2,2,2,2,2,2
31,Switzerland,,15,15,15,15,15,15
