,Region,522,528,535,542,549,556,563
0,Belgium,,12,11,7,7,7,7
1,Bulgaria,,30,22,17,13,12,13
2,Czechia,,47,47,46,47,47,47
3,Denmark,,4,4,4,4,4,4
4,Germany,,265,182,119,81,64,65
5,Estonia,,3,4,4,4,4,4
6,Ireland,,0,0,0,0,0,0
7,Greece,,85,55,41,34,30,28
8,Spain,,100,87,74,63,55,48
9,France,,173,108,67,46,37,36
10,Croatia,,45,46,46,46,46,46
11,Italy,,135,92,63,43,34,30
12,Cyprus,,3,3,3,3,3,3
13,Latvia,,29,33,33,33,33,33
14,Lithuania,,28,30,30,30,30,30
15,Luxembourg,,1,1,1,1,1,1
16,Hungary,,15,9,6,4,2,2
17,Malta,,0,0,0,0,0,0
18,Netherlands,,30,31,32,32,31,32
19,Austria,,23,26,25,26,26,25
20,Poland,,97,63,43,31,28,34
21,Portugal,,14,15,15,15,15,15
22,Romania,,134,47,35,28,27,26
23,Slovenia,,10,11,11,11,11,11
24,Slovakia,,38,41,41,41,41,41
25,Finland,,4,4,4,4,4,4
26,Sweden,,19,19,19,19,19,19
27,United Kingdom,,147,190,228,241,227,199
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,2,2,2,2,2,2
31,Switzerland,,18,18,18,18,18,18
