,Region,452,458,465,472,479,486,493
0,Belgium,,271,252,226,212,206,210
1,Bulgaria,,653,520,412,342,310,304
2,Czechia,,476,347,257,207,189,200
3,Denmark,,15,13,13,14,13,13
4,Germany,,1814,2096,2367,2522,2529,2483
5,Estonia,,59,43,33,28,27,30
6,Ireland,,36,33,29,27,25,24
7,Greece,,558,573,568,555,539,521
8,Spain,,506,412,342,302,278,265
9,France,,1684,1477,1261,1144,1076,1046
10,Croatia,,291,300,300,294,289,283
11,Italy,,2422,2086,1796,1622,1575,1625
12,Cyprus,,14,12,12,12,12,12
13,Latvia,,68,73,79,84,90,95
14,Lithuania,,71,70,68,63,59,54
15,Luxembourg,,17,17,17,17,17,18
16,Hungary,,1432,1078,794,608,522,531
17,Malta,,8,9,9,9,9,9
18,Netherlands,,146,139,132,126,120,113
19,Austria,,212,192,176,165,162,165
20,Poland,,3247,2589,2118,1769,1604,1692
21,Portugal,,41,44,44,44,44,44
22,Romania,,954,740,582,459,397,392
23,Slovenia,,45,46,46,46,47,46
24,Slovakia,,548,517,454,405,384,390
25,Finland,,19,18,19,19,18,19
26,Sweden,,156,157,153,147,142,137
27,United Kingdom,,154,126,107,101,98,96
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,14,14,14,14,14,14
31,Switzerland,,81,77,75,73,70,68
