,Region,410,416,423,430,437,444,451
0,Belgium,,162,143,128,116,108,100
1,Bulgaria,,515,643,745,762,691,601
2,Czechia,,1336,1209,1183,1185,1170,1154
3,Denmark,,14,9,7,7,7,7
4,Germany,,1557,1477,1396,1312,1223,1132
5,Estonia,,83,101,120,130,130,127
6,Ireland,,96,84,72,63,57,56
7,Greece,,317,379,460,519,542,550
8,Spain,,1042,715,519,396,329,307
9,France,,1900,1721,1577,1449,1352,1273
10,Croatia,,52,49,44,39,34,30
11,Italy,,2203,2392,2560,2621,2566,2427
12,Cyprus,,1,0,0,0,0,0
13,Latvia,,62,50,43,39,35,33
14,Lithuania,,63,55,47,41,37,36
15,Luxembourg,,14,13,13,12,12,11
16,Hungary,,999,1122,1237,1221,1023,757
17,Malta,,22,21,22,24,25,24
18,Netherlands,,272,234,211,191,174,161
19,Austria,,165,156,145,133,121,108
20,Poland,,1722,1871,1995,1999,1841,1596
21,Portugal,,105,47,29,22,21,21
22,Romania,,626,737,842,926,970,999
23,Slovenia,,36,34,28,28,27,25
24,Slovakia,,645,625,622,616,601,587
25,Finland,,25,30,34,35,36,36
26,Sweden,,192,190,181,169,156,143
27,United Kingdom,,1134,807,565,414,338,313
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,10,11,12,12,12,11
31,Switzerland,,72,69,68,68,69,70
