,Region,592,598,605,612,619,626,633
0,Belgium,,32,32,32,32,32,32
1,Bulgaria,,430,459,491,523,551,574
2,Czechia,,10,10,10,10,10,10
3,Denmark,,8,9,9,9,9,9
4,Germany,,267,304,325,327,317,302
5,Estonia,,8,6,6,6,6,6
6,Ireland,,15,15,15,15,15,15
7,Greece,,285,289,297,316,354,408
8,Spain,,834,839,829,831,865,916
9,France,,789,723,647,608,654,779
10,Croatia,,29,24,24,24,24,24
11,Italy,,476,495,520,546,589,656
12,Cyprus,,18,18,18,18,18,18
13,Latvia,,6,6,6,6,6,6
14,Lithuania,,47,44,44,45,44,45
15,Luxembourg,,1,1,1,1,1,1
16,Hungary,,7,7,7,7,7,7
17,Malta,,6,4,4,4,4,4
18,Netherlands,,69,81,86,91,95,98
19,Austria,,13,13,13,13,13,13
20,Poland,,23,23,23,23,23,23
21,Portugal,,73,65,60,57,54,52
22,Romania,,275,512,818,1072,1096,1001
23,Slovenia,,4,5,5,5,5,5
24,Slovakia,,2,2,2,2,2,2
25,Finland,,17,11,11,11,11,11
26,Sweden,,8,8,8,8,8,8
27,United Kingdom,,901,906,931,947,959,963
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,4,4,4,4,4,4
31,Switzerland,,24,24,24,24,24,24
