,Region,445,451,458,465,472,479,486
0,Belgium,,285,254,239,232,230,232
1,Bulgaria,,753,603,485,410,389,402
2,Czechia,,683,486,338,247,206,205
3,Denmark,,13,12,12,12,12,12
4,Germany,,1087,937,830,730,654,587
5,Estonia,,78,66,55,47,46,50
6,Ireland,,43,40,37,34,31,30
7,Greece,,504,496,484,472,472,483
8,Spain,,479,439,407,385,377,364
9,France,,3924,4004,4366,4638,4747,4766
10,Croatia,,255,271,278,280,280,274
11,Italy,,2760,2350,1986,1694,1507,1426
12,Cyprus,,7,8,8,8,8,8
13,Latvia,,44,47,45,43,42,40
14,Lithuania,,73,67,65,61,53,46
15,Luxembourg,,20,20,20,20,20,20
16,Hungary,,1519,1213,942,767,695,686
17,Malta,,11,12,12,12,12,12
18,Netherlands,,149,124,107,96,88,82
19,Austria,,200,179,161,146,135,125
20,Poland,,3541,3276,3012,2870,2764,2685
21,Portugal,,36,34,34,34,33,31
22,Romania,,944,800,719,682,675,677
23,Slovenia,,46,46,46,46,46,46
24,Slovakia,,533,476,417,367,344,348
25,Finland,,20,19,20,20,19,19
26,Sweden,,133,138,137,134,130,127
27,United Kingdom,,138,90,56,37,28,25
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,11,11,11,11,11,11
31,Switzerland,,80,81,77,73,68,62
